d18O SMOW;Analysis;Date;clock time;time after start single run (h);east-west (um);north-south (um);primary current (nA);16O ions per sec;18O/16O measured;1 SE (permil);16O1H/16O measured;1 SE (%);DT-FA-x (digits);DT-FA-y (digits);entrance slit x (digits);Source Pressure (mbar);18O/16O IMF corrected;d18O SMOW
24.49;Map-Otolith@0454;27.11.2021;17:03;24.57;1955;-3086;2.93;1.83E+09;0.00204491;0.13;0.0424;0.1;45;-22;6;1.10E-08;0.00205431;24.49
24.5;Map-Otolith@0414;27.11.2021;14:51;22.37;1676;-2250;2.92;1.86E+09;0.00204493;0.11;0.0443;0.06;43;-30;9;1.10E-08;0.00205433;24.5
24.5;Map-Otolith@0607;28.11.2021;01:34;32.76;2111;-1857;3.02;1.95E+09;0.00204493;0.1;0.0368;0.09;43;-27;4;1.10E-08;0.00205433;24.5
24.51;Map-Otolith@0155;27.11.2021;00:25;8.58;2072;-3250;2.79;1.76E+09;0.00204494;0.13;0.0473;0.37;45;-21;0;1.20E-08;0.00205434;24.51
24.51;Map-Otolith@0532;27.11.2021;21:20;28.53;1915;-1857;2.92;1.81E+09;0.00204494;0.11;0.0441;0.09;42;-28;11;1.10E-08;0.00205434;24.51
24.52;Map-Otolith@0626;28.11.2021;02:37;33.81;1876;-2881;2.97;1.87E+09;0.00204496;0.14;0.0425;0.1;41;-24;6;1.10E-08;0.00205436;24.52
24.52;Map-Otolith@0297;27.11.2021;08:19;16.16;2582;-2513;2.84;1.76E+09;0.00204496;0.12;0.0411;0.06;48;-27;12;1.20E-08;0.00205436;24.52
24.52;Map-Otolith@0152;27.11.2021;00:15;8.42;2347;-2513;2.81;1.74E+09;0.00204496;0.11;0.0435;0.21;46;-23;7;1.20E-08;0.00205436;24.52
24.53;Map-Otolith@0028;26.11.2021;17:26;1.6;1915;-3045;2.84;1.84E+09;0.00204498;0.13;0.0416;0.09;31;-5;6;1.30E-08;0.00205438;24.53
24.53;Map-Otolith@0307;27.11.2021;08:52;16.71;2190;-2717;2.85;1.79E+09;0.00204498;0.1;0.0401;0.27;46;-25;4;1.20E-08;0.00205438;24.53
24.53;Map-Otolith@0633;28.11.2021;03:00;34.2;2151;-2840;2.91;1.86E+09;0.00204498;0.09;0.0478;0.33;43;-26;3;1.10E-08;0.00205438;24.53
24.53;Map-Otolith@0374;27.11.2021;12:33;20.07;1993;-2226;2.91;1.84E+09;0.00204499;0.12;0.0385;0.1;45;-26;6;1.20E-08;0.0020544;24.53
24.53;Map-Otolith@0115;26.11.2021;22:13;6.38;1596;-2327;2.81;1.78E+09;0.002045;0.09;0.0461;0.13;43;-19;1;1.20E-08;0.0020544;24.53
24.53;Map-Otolith@0144;26.11.2021;23:48;7.97;1596;-2521;2.74;1.72E+09;0.002045;0.12;0.0464;0.12;44;-20;6;1.20E-08;0.0020544;24.53
24.54;Map-Otolith@0081;26.11.2021;20:21;4.52;3156;-2298;2.78;1.75E+09;0.002045;0.11;0.0416;0.16;42;-15;6;1.30E-08;0.0020544;24.54
24.54;Map-Otolith@0586;28.11.2021;00:18;31.5;2151;-2349;3.03;1.90E+09;0.002045;0.15;0.0378;0.11;44;-25;9;1.10E-08;0.0020544;24.54
24.54;Map-Otolith@0542;27.11.2021;21:53;29.08;1836;-2443;2.91;1.87E+09;0.002045;0.12;0.038;0.09;42;-28;3;1.10E-08;0.0020544;24.54
24.54;Map-Otolith@0346;27.11.2021;11:00;18.84;2740;-3045;2.9;1.81E+09;0.002045;0.11;0.0428;0.07;46;-26;5;1.20E-08;0.0020544;24.54
24.54;Map-Otolith@0129;26.11.2021;22:59;7.15;1796;-3026;2.78;1.75E+09;0.00204501;0.14;0.0417;0.31;43;-19;9;1.20E-08;0.00205441;24.54
24.54;Map-Otolith@0099;26.11.2021;21:20;5.5;2701;-3291;2.76;1.73E+09;0.00204502;0.11;0.0426;0.37;44;-16;1;1.30E-08;0.00205442;24.54
24.54;Map-Otolith@0549;27.11.2021;22:16;29.46;1796;-2521;2.97;1.89E+09;0.00204502;0.14;0.0427;0.11;40;-27;10;1.10E-08;0.00205442;24.54
24.55;Map-Otolith@0031;26.11.2021;17:36;1.77;2072;-2021;2.83;1.78E+09;0.00204502;0.2;0.0491;0.11;32;-6;3;1.30E-08;0.00205442;24.55
24.55;Map-Otolith@0356;27.11.2021;11:33;19.07;1556;-2870;2.91;1.82E+09;0.00204502;0.1;0.042;0.43;41;-26;3;1.20E-08;0.00205442;24.55
24.55;Map-Otolith@0037;26.11.2021;17:56;2.1;1877;-2103;2.85;1.85E+09;0.00204503;0.14;0.0389;0.27;31;-5;3;1.30E-08;0.00205443;24.55
24.55;Map-Otolith@0395;27.11.2021;13:42;21.22;2032;-2226;2.96;1.89E+09;0.00204503;0.13;0.0376;0.33;46;-27;7;1.10E-08;0.00205443;24.55
24.55;Map-Otolith@0084;26.11.2021;20:31;4.68;1596;-2289;2.77;1.78E+09;0.00204504;0.11;0.0458;0.09;40;-17;1;1.30E-08;0.00205444;24.55
24.56;Map-Otolith@0573;27.11.2021;23:35;30.78;2151;-1693;2.97;1.85E+09;0.00204504;0.13;0.0416;0.22;46;-26;4;1.10E-08;0.00205444;24.56
24.56;Map-Otolith@0317;27.11.2021;09:25;17.26;2308;-3127;2.84;1.79E+09;0.00204504;0.1;0.0432;0.23;44;-29;6;1.20E-08;0.00205444;24.56
24.57;Map-Otolith@0112;26.11.2021;22:03;6.22;1915;-2594;2.79;1.73E+09;0.00204506;0.11;0.0421;0.36;42;-20;6;1.20E-08;0.00205446;24.57
24.57;Map-Otolith@0098;26.11.2021;21:17;5.45;1876;-2062;2.76;1.73E+09;0.00204507;0.14;0.04;0.32;42;-16;6;1.30E-08;0.00205447;24.57
24.57;Map-Otolith@0006;26.11.2021;16:13;0.38;2229;-2431;2.89;1.87E+09;0.00204508;0.14;0.0442;0.33;23;1;6;1.30E-08;0.00205448;24.57
24.58;Map-Otolith@0818;28.11.2021;13:17;44.16;1993;-2635;2.9;1.92E+09;0.00204508;0.11;0.0381;0.37;41;-27;4;1.00E-08;0.00205448;24.58
24.58;Map-Otolith@0388;27.11.2021;13:19;20.84;1994;-2185;2.91;1.84E+09;0.00204509;0.14;0.0365;0.09;48;-27;7;1.20E-08;0.00205449;24.58
24.58;Map-Otolith@0078;26.11.2021;20:11;4.35;2072;-3004;2.79;1.76E+09;0.00204509;0.15;0.0446;0.41;40;-16;3;1.30E-08;0.00205449;24.58
24.59;Map-Otolith@0758;28.11.2021;09:52;40.74;1915;-1939;2.95;1.88E+09;0.0020451;0.16;0.043;0.06;36;-28;12;1.00E-08;0.0020545;24.59
24.59;Map-Otolith@0083;26.11.2021;20:27;4.62;2504;-2594;2.8;1.71E+09;0.00204511;0.12;0.045;0.26;42;-16;6;1.30E-08;0.00205451;24.59
24.6;Map-Otolith@0224;27.11.2021;04:19;12.16;2818;-1939;2.81;1.75E+09;0.00204512;0.11;0.0455;0.15;48;-24;6;1.20E-08;0.00205452;24.6
24.6;Map-Otolith@0621;28.11.2021;02:20;33.53;1556;-3413;3.04;1.94E+09;0.00204512;0.09;0.0381;0.09;41;-22;4;1.10E-08;0.00205452;24.6
24.6;Map-Otolith@0127;26.11.2021;22:52;7.03;2582;-2922;2.81;1.77E+09;0.00204513;0.13;0.0424;0.02;45;-21;8;1.20E-08;0.00205453;24.6
24.6;Map-Otolith@0339;27.11.2021;10:37;18.46;1636;-2832;2.89;1.80E+09;0.00204513;0.09;0.0438;0.06;43;-29;7;1.20E-08;0.00205453;24.6
24.61;Map-Otolith@0189;27.11.2021;02:17;10.45;2386;-2308;2.82;1.76E+09;0.00204515;0.14;0.0457;0.28;47;-26;6;1.20E-08;0.00205455;24.61
24.61;Map-Otolith@0502;27.11.2021;19:41;26.88;1716;-2909;2.94;1.88E+09;0.00204515;0.14;0.0433;0.19;42;-28;10;1.10E-08;0.00205455;24.61
24.61;Map-Otolith@0707;28.11.2021;07:04;37.94;2190;-2635;2.9;1.84E+09;0.00204515;0.14;0.0377;0.16;43;-25;5;1.10E-08;0.00205455;24.61
24.63;Map-Otolith@0416;27.11.2021;14:58;22.49;1716;-2327;2.95;1.87E+09;0.00204519;0.12;0.0437;0.04;45;-27;7;1.10E-08;0.00205459;24.63
24.64;Map-Otolith@0768;28.11.2021;10:25;41.29;2072;-2390;2.99;1.91E+09;0.00204521;0.12;0.0372;0.25;41;-27;7;1.00E-08;0.00205461;24.64
24.65;Map-Otolith@0242;27.11.2021;05:18;13.14;2308;-3045;2.87;1.81E+09;0.00204522;0.14;0.0422;0.31;48;-27;6;1.20E-08;0.00205462;24.65
24.65;Map-Otolith@0751;28.11.2021;09:29;40.36;1556;-2249;2.92;1.87E+09;0.00204522;0.11;0.0415;0.35;35;-28;6;1.00E-08;0.00205463;24.65
24.65;Map-Otolith@0011;26.11.2021;16:30;0.67;1994;-3332;2.85;1.76E+09;0.00204523;0.17;0.0511;0.07;25;2;-2;1.30E-08;0.00205463;24.65
24.65;Map-Otolith@0796;28.11.2021;12:05;42.96;2661;-1734;3.02;1.92E+09;0.00204523;0.11;0.041;0.15;46;-31;5;1.00E-08;0.00205463;24.65
24.65;Map-Otolith@0817;28.11.2021;13:14;44.11;2111;-1693;2.9;1.85E+09;0.00204523;0.11;0.0406;0.46;39;-31;3;1.00E-08;0.00205463;24.65
24.65;Map-Otolith@0036;26.11.2021;17:52;2.03;2426;-3045;2.85;1.82E+09;0.00204523;0.17;0.0476;0.41;33;-9;3;1.30E-08;0.00205463;24.65
24.66;Map-Otolith@0001;26.11.2021;15:57;0.12;2032;-2308;2.85;1.84E+09;0.00204525;0.13;0.0459;0.13;20;5;8;1.30E-08;0.00205466;24.66
24.67;Map-Otolith@0617;28.11.2021;02:07;33.31;2465;-2881;3.02;1.92E+09;0.00204526;0.13;0.0416;0.54;44;-23;2;1.10E-08;0.00205466;24.67
24.67;Map-Otolith@0311;27.11.2021;09:05;16.93;2268;-2185;2.85;1.78E+09;0.00204527;0.13;0.0437;0.16;45;-27;6;1.20E-08;0.00205467;24.67
24.68;Map-Otolith@0373;27.11.2021;12:29;20;1796;-2405;2.91;1.84E+09;0.00204528;0.11;0.0419;0.11;43;-26;9;1.20E-08;0.00205468;24.68
24.68;Map-Otolith@0613;28.11.2021;01:54;33.1;1796;-3103;3.01;1.92E+09;0.00204528;0.11;0.0393;0.28;43;-22;6;1.10E-08;0.00205468;24.68
24.68;Map-Otolith@0180;27.11.2021;01:47;9.95;2936;-2840;2.83;1.77E+09;0.00204529;0.11;0.0437;0.05;49;-22;8;1.20E-08;0.00205469;24.68
24.68;Map-Otolith@0583;28.11.2021;00:08;31.33;2347;-2226;3.03;1.96E+09;0.00204529;0.13;0.039;0.19;45;-27;2;1.10E-08;0.00205469;24.68
24.68;Map-Otolith@0312;27.11.2021;09:09;16.99;2779;-1816;2.86;1.76E+09;0.00204529;0.15;0.0429;0.19;49;-27;7;1.20E-08;0.0020547;24.68
24.69;Map-Otolith@0033;26.11.2021;17:42;1.87;2111;-3332;2.83;1.78E+09;0.0020453;0.12;0.0492;0.22;30;-5;6;1.30E-08;0.0020547;24.69
24.69;Map-Otolith@0206;27.11.2021;03:19;11.16;2661;-2635;2.84;1.77E+09;0.0020453;0.09;0.0404;0.23;49;-22;4;1.20E-08;0.0020547;24.69
24.69;Map-Otolith@0063;26.11.2021;19:21;3.52;2229;-2144;2.87;1.80E+09;0.0020453;0.13;0.046;0.09;37;-12;4;1.30E-08;0.00205471;24.69
24.7;Map-Otolith@0255;27.11.2021;06:01;13.86;2583;-2062;2.86;1.79E+09;0.00204532;0.14;0.0417;0.18;48;-29;3;1.20E-08;0.00205472;24.7
24.7;Map-Otolith@0722;28.11.2021;07:54;38.77;2543;-2267;2.91;1.84E+09;0.00204533;0.1;0.0405;0.52;42;-26;4;1.00E-08;0.00205473;24.7
24.7;Map-Otolith@0745;28.11.2021;09:09;40.02;1796;-2366;2.92;1.88E+09;0.00204533;0.12;0.0469;0.16;38;-26;5;1.00E-08;0.00205473;24.7
24.7;Map-Otolith@0676;28.11.2021;05:22;36.24;2229;-2185;2.96;1.92E+09;0.00204533;0.12;0.044;0.42;42;-29;6;1.10E-08;0.00205474;24.7
24.71;Map-Otolith@0468;27.11.2021;17:49;25.34;2504;-2513;2.96;1.91E+09;0.00204534;0.11;0.0411;0.12;47;-29;2;1.10E-08;0.00205474;24.71
24.71;Map-Otolith@0727;28.11.2021;08:10;39.04;2111;-1816;2.89;1.85E+09;0.00204535;0.08;0.0396;0.08;41;-32;8;1.00E-08;0.00205475;24.71
24.71;Map-Otolith@0719;28.11.2021;07:44;38.61;2976;-1693;2.95;1.83E+09;0.00204535;0.12;0.0426;0.12;48;-32;17;1.00E-08;0.00205475;24.71
24.71;Map-Otolith@0759;28.11.2021;09:56;40.81;2229;-2717;2.95;1.95E+09;0.00204535;0.11;0.0375;0.19;40;-25;7;1.00E-08;0.00205475;24.71
24.72;Map-Otolith@0270;27.11.2021;06:50;14.68;2425;-2021;2.87;1.80E+09;0.00204536;0.13;0.0426;0.22;47;-27;6;1.20E-08;0.00205476;24.72
24.72;Map-Otolith@0271;27.11.2021;06:54;14.74;2268;-2021;2.87;1.79E+09;0.00204536;0.14;0.0379;0.08;46;-27;7;1.20E-08;0.00205476;24.72
24.73;Map-Otolith@0750;28.11.2021;09:26;40.31;2229;-3291;2.92;1.83E+09;0.00204538;0.12;0.0394;0.5;43;-17;9;1.00E-08;0.00205478;24.73
24.73;Map-Otolith@0175;27.11.2021;01:31;9.68;2150;-1734;2.81;1.77E+09;0.00204538;0.12;0.0429;0.12;47;-21;4;1.20E-08;0.00205479;24.73
24.73;Map-Otolith@0449;27.11.2021;16:46;24.29;1796;-2289;2.97;1.88E+09;0.00204538;0.14;0.0428;0.05;44;-28;4;1.10E-08;0.00205479;24.73
24.73;Map-Otolith@0671;28.11.2021;05:05;35.96;1756;-2327;2.96;1.93E+09;0.00204538;0.12;0.0369;0.23;39;-30;7;1.00E-08;0.00205479;24.73
24.73;Map-Otolith@0057;26.11.2021;19:02;3.2;1836;-3297;2.84;1.76E+09;0.00204539;0.14;0.0429;0.1;36;-11;15;1.30E-08;0.00205479;24.73
24.73;Map-Otolith@0153;27.11.2021;00:18;8.47;1556;-2327;2.8;1.78E+09;0.00204539;0.11;0.0462;0.15;47;-22;-4;1.20E-08;0.0020548;24.73
24.73;Map-Otolith@0143;26.11.2021;23:45;7.92;1556;-2366;2.76;1.74E+09;0.00204539;0.13;0.045;0.09;46;-20;1;1.20E-08;0.0020548;24.73
24.74;Map-Otolith@0698;28.11.2021;06:34;37.44;2504;-2963;2.95;1.92E+09;0.0020454;0.12;0.0402;0.09;44;-25;8;1.00E-08;0.00205481;24.74
24.75;Map-Otolith@0415;27.11.2021;14:54;22.42;2347;-2758;2.94;1.88E+09;0.00204542;0.13;0.0431;0.29;46;-25;6;1.10E-08;0.00205482;24.75
24.75;Map-Otolith@0437;27.11.2021;16:07;23.64;2229;-3045;2.95;1.87E+09;0.00204542;0.11;0.042;0.24;44;-23;4;1.10E-08;0.00205483;24.75
24.76;Map-Otolith@0741;28.11.2021;08:56;39.81;2425;-3332;2.91;1.85E+09;0.00204544;0.14;0.0414;0.37;43;-17;0;1.00E-08;0.00205485;24.76
24.76;Map-Otolith@0705;28.11.2021;06:57;37.82;1836;-2793;2.9;1.88E+09;0.00204545;0.11;0.0446;0.04;41;-24;5;1.00E-08;0.00205485;24.76
24.76;Map-Otolith@0147;26.11.2021;23:58;8.13;2386;-2881;2.76;1.69E+09;0.00204545;0.12;0.044;0.47;45;-22;5;1.20E-08;0.00205485;24.76
24.76;Map-Otolith@0713;28.11.2021;07:24;38.27;1915;-2799;2.92;1.79E+09;0.00204546;0.14;0.0375;0.21;41;-22;3;1.10E-08;0.00205486;24.76
24.77;Map-Otolith@0226;27.11.2021;04:25;12.26;2308;-2226;2.82;1.79E+09;0.00204546;0.11;0.0468;0.16;47;-26;3;1.20E-08;0.00205486;24.77
24.77;Map-Otolith@0335;27.11.2021;10:24;18.24;2582;-2840;2.89;1.80E+09;0.00204546;0.14;0.0421;0.15;47;-28;5;1.20E-08;0.00205486;24.77
24.77;Map-Otolith@0085;26.11.2021;20:34;4.73;2543;-2308;2.77;1.73E+09;0.00204546;0.12;0.0434;0.3;41;-15;7;1.30E-08;0.00205486;24.77
24.77;Map-Otolith@0509;27.11.2021;20:04;27.26;2072;-2267;2.93;1.87E+09;0.00204547;0.1;0.037;0.14;45;-25;8;1.10E-08;0.00205487;24.77
24.77;Map-Otolith@0309;27.11.2021;08:59;16.83;1836;-2986;2.84;1.80E+09;0.00204547;0.11;0.0374;0.31;45;-23;9;1.20E-08;0.00205488;24.77
24.79;Map-Otolith@0506;27.11.2021;19:54;27.1;2582;-3250;2.95;1.88E+09;0.0020455;0.1;0.0414;0.45;49;-23;5;1.10E-08;0.0020549;24.79
24.79;Map-Otolith@0714;28.11.2021;07:27;38.32;2740;-2799;2.93;1.89E+09;0.0020455;0.11;0.0381;0.05;47;-21;0;1.00E-08;0.0020549;24.79
24.79;Map-Otolith@0649;28.11.2021;03:53;35.08;2897;-1816;2.92;1.91E+09;0.0020455;0.1;0.0405;0.09;45;-30;6;1.10E-08;0.00205491;24.79
24.79;Map-Otolith@0305;27.11.2021;08:46;16.61;1993;-2144;2.84;1.81E+09;0.0020455;0.13;0.0401;0.14;42;-26;13;1.20E-08;0.00205491;24.79
24.79;Map-Otolith@0728;28.11.2021;08:13;39.09;2936;-3413;2.89;1.84E+09;0.00204551;0.12;0.0373;0.05;49;-19;-1;1.10E-08;0.00205491;24.79
24.79;Map-Otolith@0724;28.11.2021;08:00;38.87;2190;-2676;2.88;1.84E+09;0.00204551;0.11;0.0414;0.09;41;-24;9;1.00E-08;0.00205492;24.79
24.8;Map-Otolith@0429;27.11.2021;15:40;23.19;1556;-2832;2.97;1.86E+09;0.00204552;0.11;0.0424;0.18;41;-24;10;1.10E-08;0.00205492;24.8
24.8;Map-Otolith@0239;27.11.2021;05:08;12.98;1954;-1898;2.88;1.80E+09;0.00204552;0.13;0.0396;0.27;47;-25;5;1.20E-08;0.00205492;24.8
24.8;Map-Otolith@0375;27.11.2021;12:36;20.12;1915;-2472;2.93;1.82E+09;0.00204552;0.14;0.0386;0.03;42;-29;5;1.20E-08;0.00205492;24.8
24.8;Map-Otolith@0116;26.11.2021;22:16;6.43;2622;-1775;2.79;1.72E+09;0.00204552;0.11;0.0429;0.15;45;-15;6;1.20E-08;0.00205493;24.8
24.8;Map-Otolith@0721;28.11.2021;07:50;38.71;2072;-3127;2.92;1.81E+09;0.00204554;0.1;0.0431;0.34;41;-20;1;1.00E-08;0.00205494;24.8
24.81;Map-Otolith@0816;28.11.2021;13:11;44.06;2976;-1775;2.9;1.87E+09;0.00204554;0.14;0.0391;0.09;45;-32;7;1.00E-08;0.00205494;24.81
24.81;Map-Otolith@0528;27.11.2021;21:07;28.31;2033;-3004;2.9;1.85E+09;0.00204555;0.12;0.0424;0.41;45;-21;3;1.10E-08;0.00205495;24.81
24.81;Map-Otolith@0806;28.11.2021;12:38;43.51;2622;-3413;3.04;1.93E+09;0.00204555;0.11;0.04;0.19;41;-18;2;1.00E-08;0.00205495;24.81
24.82;Map-Otolith@0749;28.11.2021;09:23;40.26;2739;-3250;2.92;1.84E+09;0.00204556;0.13;0.036;0.58;45;-18;4;1.00E-08;0.00205497;24.82
24.82;Map-Otolith@0032;26.11.2021;17:39;1.82;1676;-3220;2.83;1.82E+09;0.00204556;0.11;0.0462;0.17;29;-4;9;1.30E-08;0.00205497;24.82
24.82;Map-Otolith@0535;27.11.2021;21:30;28.7;2347;-3045;2.91;1.86E+09;0.00204556;0.12;0.0406;0.34;46;-24;6;1.10E-08;0.00205497;24.82
24.82;Map-Otolith@0600;28.11.2021;01:11;32.38;2268;-2472;3;1.94E+09;0.00204557;0.12;0.0399;0.23;41;-28;7;1.10E-08;0.00205498;24.82
24.82;Map-Otolith@0764;28.11.2021;10:12;41.07;3036;-1939;2.96;1.91E+09;0.00204558;0.12;0.0344;0.2;49;-31;3;1.00E-08;0.00205498;24.82
24.83;Map-Otolith@0785;28.11.2021;11:22;42.24;2504;-1980;2.98;1.94E+09;0.00204558;0.1;0.0404;0.08;44;-32;8;1.00E-08;0.00205498;24.83
24.83;Map-Otolith@0218;27.11.2021;03:59;11.83;2229;-2799;2.84;1.79E+09;0.00204558;0.06;0.0455;0.12;47;-26;4;1.20E-08;0.00205498;24.83
24.83;Map-Otolith@0754;28.11.2021;09:39;40.52;1596;-3258;2.93;1.88E+09;0.00204558;0.13;0.0423;0.28;38;-23;13;1.00E-08;0.00205499;24.83
24.83;Map-Otolith@0499;27.11.2021;19:31;27.04;2268;-2226;2.94;1.89E+09;0.00204559;0.14;0.0432;0.29;46;-28;3;1.10E-08;0.00205499;24.83
24.83;Map-Otolith@0114;26.11.2021;22:10;6.33;1877;-3168;2.81;1.76E+09;0.00204559;0.14;0.0412;0.35;42;-18;16;1.20E-08;0.00205499;24.83
24.83;Map-Otolith@0776;28.11.2021;10:52;41.74;2308;-1775;2.93;1.87E+09;0.00204559;0.14;0.036;0.05;43;-32;0;1.00E-08;0.002055;24.83
24.84;Map-Otolith@0593;28.11.2021;00:41;31.88;1556;-3297;2.96;1.86E+09;0.0020456;0.11;0.0392;0.08;38;-22;10;1.10E-08;0.00205501;24.84
24.84;Map-Otolith@0302;27.11.2021;08:36;16.44;2504;-3413;2.84;1.69E+09;0.00204561;0.12;0.0438;0.17;50;-24;0;1.20E-08;0.00205501;24.84
24.84;Map-Otolith@0546;27.11.2021;22:06;29.3;2778;-1857;2.91;1.82E+09;0.00204561;0.09;0.0423;0.13;49;-29;6;1.10E-08;0.00205501;24.84
24.84;Map-Otolith@0702;28.11.2021;06:48;37.67;1716;-2870;2.89;1.86E+09;0.00204561;0.12;0.0426;0.1;38;-23;7;1.00E-08;0.00205502;24.84
24.85;Map-Otolith@0059;26.11.2021;19:08;3.3;2151;-2594;2.85;1.81E+09;0.00204563;0.16;0.0387;0.39;36;-12;2;1.30E-08;0.00205504;24.85
24.85;Map-Otolith@0308;27.11.2021;08:55;16.76;2072;-3291;2.84;1.77E+09;0.00204564;0.14;0.0446;0.34;45;-23;5;1.20E-08;0.00205504;24.85
24.86;Map-Otolith@0793;28.11.2021;11:48;42.67;2622;-3373;3;1.93E+09;0.00204564;0.11;0.0384;0.17;41;-20;4;1.00E-08;0.00205504;24.86
24.86;Map-Otolith@0515;27.11.2021;20:24;27.6;2504;-2635;2.93;1.88E+09;0.00204565;0.17;0.0427;0.18;44;-30;7;1.10E-08;0.00205505;24.86
24.87;Map-Otolith@0279;27.11.2021;07:20;15.18;2661;-2676;2.84;1.78E+09;0.00204566;0.13;0.0412;0.64;46;-26;6;1.20E-08;0.00205506;24.87
24.87;Map-Otolith@0126;26.11.2021;22:49;6.98;2386;-1980;2.8;1.73E+09;0.00204567;0.13;0.0434;0.23;43;-19;9;1.20E-08;0.00205507;24.87
24.87;Map-Otolith@0331;27.11.2021;10:11;18.03;2857;-1693;2.86;1.77E+09;0.00204567;0.14;0.0438;0.26;51;-28;8;1.20E-08;0.00205507;24.87
24.87;Map-Otolith@0784;28.11.2021;11:18;42.17;3156;-2218;2.98;1.96E+09;0.00204567;0.11;0.0365;0.07;49;-28;-3;1.00E-08;0.00205507;24.87
24.88;Map-Otolith@0599;28.11.2021;01:08;32.33;1915;-2431;2.99;1.94E+09;0.00204568;0.12;0.0382;0.09;39;-29;9;1.10E-08;0.00205508;24.88
24.88;Map-Otolith@0725;28.11.2021;08:03;38.92;2543;-1980;2.89;1.84E+09;0.00204568;0.12;0.0407;0.18;45;-29;8;1.00E-08;0.00205509;24.88
24.89;Map-Otolith@0320;27.11.2021;09:35;17.43;1636;-3336;2.84;1.74E+09;0.0020457;0.11;0.043;0.12;43;-20;16;1.20E-08;0.0020551;24.89
24.89;Map-Otolith@0045;26.11.2021;18:22;2.53;1993;-2553;2.84;1.81E+09;0.00204571;0.14;0.0393;0.19;32;-13;3;1.30E-08;0.00205512;24.89
24.89;Map-Otolith@0086;26.11.2021;20:37;4.78;3036;-2657;2.77;1.75E+09;0.00204571;0.12;0.0419;0.07;39;-16;7;1.30E-08;0.00205512;24.89
24.9;Map-Otolith@0324;27.11.2021;09:48;17.64;2229;-3413;2.85;1.73E+09;0.00204572;0.12;0.0414;0.42;48;-22;9;1.20E-08;0.00205512;24.9
24.9;Map-Otolith@0813;28.11.2021;13:01;43.89;2229;-1734;2.91;1.88E+09;0.00204572;0.1;0.0403;0.18;41;-33;5;1.00E-08;0.00205513;24.9
24.9;Map-Otolith@0337;27.11.2021;10:31;18.36;2818;-2758;2.89;1.83E+09;0.00204573;0.11;0.0418;0.07;48;-28;4;1.20E-08;0.00205513;24.9
24.9;Map-Otolith@0493;27.11.2021;19:11;26.7;2504;-3086;2.95;1.88E+09;0.00204573;0.11;0.04;0.32;47;-23;1;1.10E-08;0.00205514;24.9
24.91;Map-Otolith@0344;27.11.2021;10:54;18.74;2111;-2103;2.91;1.81E+09;0.00204574;0.09;0.0416;0.15;43;-28;9;1.20E-08;0.00205514;24.91
24.92;Map-Otolith@0424;27.11.2021;15:24;22.92;2308;-2963;2.94;1.87E+09;0.00204576;0.11;0.0425;0.23;46;-26;6;1.10E-08;0.00205517;24.92
24.92;Map-Otolith@0792;28.11.2021;11:45;42.62;2622;-2922;3;1.93E+09;0.00204576;0.14;0.0381;0.19;42;-23;6;1.00E-08;0.00205517;24.92
24.92;Map-Otolith@0404;27.11.2021;14:18;21.82;1676;-3142;2.93;1.82E+09;0.00204577;0.1;0.0426;0.06;43;-21;10;1.10E-08;0.00205517;24.92
24.93;Map-Otolith@0467;27.11.2021;17:46;25.29;2386;-1816;2.97;1.86E+09;0.00204578;0.11;0.0359;0.1;44;-29;8;1.10E-08;0.00205519;24.93
24.93;Map-Otolith@0790;28.11.2021;11:38;42.51;2111;-2062;2.99;1.94E+09;0.00204579;0.12;0.0385;0.25;40;-28;3;1.00E-08;0.00205519;24.93
24.94;Map-Otolith@0444;27.11.2021;16:30;24.02;2779;-3127;2.93;1.86E+09;0.0020458;0.14;0.0388;0.16;47;-24;3;1.10E-08;0.0020552;24.94
24.94;Map-Otolith@0368;27.11.2021;12:13;19.74;2543;-2881;2.88;1.78E+09;0.0020458;0.12;0.0428;0.16;45;-29;6;1.20E-08;0.0020552;24.94
24.94;Map-Otolith@0629;28.11.2021;02:47;33.98;2150;-2308;2.93;1.85E+09;0.00204581;0.17;0.0375;0.31;45;-26;7;1.10E-08;0.00205521;24.94
24.94;Map-Otolith@0381;27.11.2021;12:56;20.45;2778;-3086;2.91;1.85E+09;0.00204581;0.08;0.0431;0.75;50;-24;6;1.20E-08;0.00205522;24.94
24.95;Map-Otolith@0800;28.11.2021;12:18;43.17;1716;-2832;3.02;1.94E+09;0.00204582;0.11;0.043;0.18;36;-22;12;1.00E-08;0.00205523;24.95
24.95;Map-Otolith@0505;27.11.2021;19:51;27.05;1796;-3258;2.95;1.85E+09;0.00204582;0.12;0.0377;0.32;44;-21;11;1.10E-08;0.00205523;24.95
24.95;Map-Otolith@0760;28.11.2021;09:59;40.86;2622;-3004;2.96;1.89E+09;0.00204582;0.08;0.0395;0.07;44;-21;9;1.00E-08;0.00205523;24.95
24.95;Map-Otolith@0394;27.11.2021;13:38;21.15;2976;-2840;2.95;1.86E+09;0.00204583;0.12;0.0391;0.26;50;-24;10;1.10E-08;0.00205523;24.95
24.95;Map-Otolith@0630;28.11.2021;02:50;34.03;2465;-2513;2.92;1.92E+09;0.00204583;0.12;0.0432;0.25;43;-26;3;1.10E-08;0.00205524;24.95
