d18O SMOW;Analysis;Date;clock time;time after start single run (h);east-west (um);north-south (um);primary current (nA);16O ions per sec;18O/16O measured;1 SE (permil);16O1H/16O measured;1 SE (%);DT-FA-x (digits);DT-FA-y (digits);entrance slit x (digits);Source Pressure (mbar);18O/16O IMF corrected;d18O SMOW
23.73;Map-Otolith@0464;27.11.2021;17:36;25.12;2229;-2922;3;1.89E+09;0.00204338;0.11;0.0411;0.32;47;-23;3;1.10E-08;0.00205278;23.73
23.75;Map-Otolith@0763;28.11.2021;10:09;41.02;1676;-2405;2.95;1.93E+09;0.00204342;0.11;0.0422;0.04;36;-27;7;1.00E-08;0.00205282;23.75
23.75;Map-Otolith@0706;28.11.2021;07:01;37.89;1556;-2677;2.89;1.88E+09;0.00204343;0.1;0.0421;0.05;37;-24;7;1.00E-08;0.00205282;23.75
23.76;Map-Otolith@0225;27.11.2021;04:22;12.21;1836;-2483;2.82;1.76E+09;0.00204345;0.11;0.0382;0.29;44;-27;6;1.20E-08;0.00205284;23.76
23.77;Map-Otolith@0420;27.11.2021;15:11;22.7;2308;-2594;2.94;1.84E+09;0.00204347;0.14;0.0448;0.35;48;-23;3;1.10E-08;0.00205287;23.77
23.78;Map-Otolith@0496;27.11.2021;19:21;26.87;1876;-2553;2.96;1.84E+09;0.00204349;0.13;0.0415;0.31;44;-25;3;1.10E-08;0.00205289;23.78
23.79;Map-Otolith@0803;28.11.2021;12:28;43.34;2190;-2799;3.03;1.99E+09;0.00204352;0.1;0.0411;0.18;37;-26;4;1.00E-08;0.00205291;23.79
23.8;Map-Otolith@0060;26.11.2021;19:11;3.35;1636;-2366;2.85;1.83E+09;0.00204353;0.12;0.0452;0.06;38;-11;2;1.30E-08;0.00205292;23.8
23.8;Map-Otolith@0041;26.11.2021;18:09;2.32;2308;-3209;2.85;1.83E+09;0.00204354;0.16;0.0508;0.25;32;-10;7;1.30E-08;0.00205293;23.8
23.84;Map-Otolith@0521;27.11.2021;20:44;27.93;1716;-2483;2.94;1.89E+09;0.00204362;0.13;0.0443;0.1;44;-25;9;1.10E-08;0.00205301;23.84
23.85;Map-Otolith@0696;28.11.2021;06:28;37.34;1954;-2553;2.93;1.89E+09;0.00204362;0.13;0.04;0.32;42;-27;1;1.10E-08;0.00205302;23.85
23.86;Map-Otolith@0289;27.11.2021;07:53;15.73;2268;-3086;2.85;1.78E+09;0.00204365;0.12;0.0437;0.23;47;-28;1;1.20E-08;0.00205305;23.86
23.86;Map-Otolith@0269;27.11.2021;06:47;14.63;1716;-3336;2.85;1.46E+09;0.00204366;0.15;0.0414;0.37;43;-20;11;1.20E-08;0.00205305;23.86
23.87;Map-Otolith@0472;27.11.2021;18:02;25.55;2229;-2963;2.91;1.82E+09;0.00204366;0.12;0.0401;0.41;48;-23;6;1.10E-08;0.00205306;23.87
23.88;Map-Otolith@0021;26.11.2021;17:03;1.22;2268;-3209;2.83;1.79E+09;0.00204369;0.15;0.0502;0.58;29;-4;6;1.30E-08;0.00205309;23.88
23.88;Map-Otolith@0419;27.11.2021;15:07;22.64;2347;-2635;2.95;1.89E+09;0.00204369;0.13;0.0422;0.22;46;-26;4;1.10E-08;0.00205309;23.88
23.89;Map-Otolith@0452;27.11.2021;16:56;24.45;1636;-3414;2.94;1.85E+09;0.00204372;0.1;0.0427;0.14;42;-21;12;1.10E-08;0.00205311;23.89
23.9;Map-Otolith@0801;28.11.2021;12:21;43.22;2308;-3332;3.02;1.91E+09;0.00204372;0.13;0.0412;0.32;43;-17;7;1.00E-08;0.00205311;23.9
23.91;Map-Otolith@0310;27.11.2021;09:02;16.88;2386;-2021;2.85;1.82E+09;0.00204375;0.1;0.0402;0.06;46;-29;5;1.20E-08;0.00205315;23.91
23.93;Map-Otolith@0439;27.11.2021;16:13;23.74;2151;-1857;2.94;1.85E+09;0.0020438;0.1;0.0409;0.18;48;-28;5;1.10E-08;0.00205319;23.93
23.96;Map-Otolith@0322;27.11.2021;09:41;17.53;2190;-1898;2.84;1.78E+09;0.00204386;0.12;0.0439;0.27;47;-28;3;1.20E-08;0.00205325;23.96
23.98;Map-Otolith@0411;27.11.2021;14:41;22.2;2229;-1775;2.93;1.87E+09;0.0020439;0.15;0.0415;0.32;47;-27;6;1.20E-08;0.00205329;23.98
23.99;Map-Otolith@0371;27.11.2021;12:23;19.9;2229;-2226;2.88;1.82E+09;0.0020439;0.12;0.0454;0.34;45;-28;5;1.20E-08;0.0020533;23.99
24;Map-Otolith@0065;26.11.2021;19:28;3.63;1676;-2366;2.84;1.82E+09;0.00204392;0.12;0.0444;0.09;37;-14;4;1.30E-08;0.00205332;24
24;Map-Otolith@0254;27.11.2021;05:58;13.81;2229;-3004;2.86;1.77E+09;0.00204393;0.11;0.0452;0.35;48;-25;6;1.20E-08;0.00205333;24
24.01;Map-Otolith@0369;27.11.2021;12:16;19.79;2426;-2717;2.87;1.82E+09;0.00204395;0.12;0.0443;0.08;45;-30;5;1.20E-08;0.00205335;24.01
24.03;Map-Otolith@0569;27.11.2021;23:22;30.56;1876;-3208;3.01;1.80E+09;0.002044;0.16;0.0401;0.31;44;-21;17;1.10E-08;0.00205339;24.03
24.04;Map-Otolith@0761;28.11.2021;10:02;40.91;2268;-3004;2.97;1.94E+09;0.00204401;0.13;0.0383;0.01;42;-22;6;1.00E-08;0.0020534;24.04
24.04;Map-Otolith@0272;27.11.2021;06:57;14.79;2739;-3086;2.86;1.80E+09;0.00204401;0.15;0.0418;0.08;48;-25;3;1.20E-08;0.00205341;24.04
24.04;Map-Otolith@0463;27.11.2021;17:32;25.05;1596;-2560;2.99;1.92E+09;0.00204401;0.12;0.0445;0.12;42;-26;7;1.10E-08;0.00205341;24.04
24.06;Map-Otolith@0191;27.11.2021;02:23;10.55;1876;-3290;2.81;1.71E+09;0.00204404;0.13;0.0442;0.09;47;-19;12;1.20E-08;0.00205344;24.06
24.07;Map-Otolith@0545;27.11.2021;22:03;29.25;1915;-3291;2.91;1.77E+09;0.00204406;0.14;0.0417;0.17;43;-19;21;1.10E-08;0.00205346;24.07
24.07;Map-Otolith@0445;27.11.2021;16:33;24.07;2583;-3373;2.94;1.82E+09;0.00204407;0.11;0.0409;0.37;46;-23;9;1.20E-08;0.00205347;24.07
24.11;Map-Otolith@0151;27.11.2021;00:11;8.35;1955;-2594;2.81;1.74E+09;0.00204415;0.14;0.0432;0.26;45;-23;5;1.20E-08;0.00205354;24.11
24.11;Map-Otolith@0133;26.11.2021;23:12;7.37;1877;-1693;2.76;1.68E+09;0.00204415;0.15;0.0435;0.35;46;-18;2;1.20E-08;0.00205354;24.11
24.12;Map-Otolith@0193;27.11.2021;02:30;10.67;2111;-2349;2.82;1.73E+09;0.00204416;0.15;0.0472;0.42;47;-24;5;1.20E-08;0.00205356;24.12
24.13;Map-Otolith@0294;27.11.2021;08:09;15.99;2111;-2676;2.85;1.74E+09;0.00204419;0.13;0.0457;0.26;45;-27;9;1.20E-08;0.00205359;24.13
24.14;Map-Otolith@0148;27.11.2021;00:02;8.2;3236;-2856;2.74;1.70E+09;0.0020442;0.12;0.0385;0.2;48;-22;13;1.20E-08;0.0020536;24.14
24.14;Map-Otolith@0462;27.11.2021;17:29;25;2622;-2472;2.98;1.87E+09;0.00204421;0.12;0.0386;0.31;48;-27;9;1.10E-08;0.00205361;24.14
24.17;Map-Otolith@0635;28.11.2021;03:07;34.31;2347;-2594;2.91;1.89E+09;0.00204427;0.13;0.0401;0.27;43;-24;6;1.10E-08;0.00205367;24.17
24.17;Map-Otolith@0268;27.11.2021;06:44;14.58;2111;-2717;2.84;1.79E+09;0.00204427;0.11;0.0416;0.29;45;-26;8;1.20E-08;0.00205367;24.17
24.18;Map-Otolith@0345;27.11.2021;10:57;18.79;1596;-2366;2.89;1.89E+09;0.00204429;0.11;0.0461;0.2;41;-29;4;1.20E-08;0.00205368;24.18
24.18;Map-Otolith@0379;27.11.2021;12:49;20.34;1954;-2226;2.92;1.82E+09;0.00204429;0.14;0.0429;0.54;46;-29;5;1.20E-08;0.00205368;24.18
24.18;Map-Otolith@0342;27.11.2021;10:47;18.63;1994;-3004;2.89;1.78E+09;0.00204429;0.13;0.0445;0.33;45;-25;2;1.20E-08;0.00205369;24.18
24.18;Map-Otolith@0082;26.11.2021;20:24;4.57;2740;-3373;2.8;1.65E+09;0.00204429;0.16;0.0328;0.43;41;-18;1;1.30E-08;0.00205369;24.18
24.18;Map-Otolith@0755;28.11.2021;09:42;40.57;2426;-2062;2.96;1.93E+09;0.0020443;0.1;0.0387;0.1;42;-32;1;1.00E-08;0.0020537;24.18
24.19;Map-Otolith@0520;27.11.2021;20:40;27.86;1716;-2289;2.94;1.89E+09;0.00204431;0.12;0.0439;0.1;44;-29;9;1.10E-08;0.00205371;24.19
24.2;Map-Otolith@0245;27.11.2021;05:28;13.31;2150;-2390;2.86;1.80E+09;0.00204432;0.12;0.0401;0.23;47;-26;2;1.20E-08;0.00205372;24.2
24.21;Map-Otolith@0038;26.11.2021;17:59;2.15;1955;-1775;2.87;1.82E+09;0.00204434;0.14;0.0467;0.14;33;-4;4;1.30E-08;0.00205374;24.21
24.21;Map-Otolith@0140;26.11.2021;23:35;7.75;2386;-2553;2.78;1.74E+09;0.00204435;0.12;0.0433;0.09;46;-21;6;1.30E-08;0.00205375;24.21
24.22;Map-Otolith@0105;26.11.2021;21:40;5.83;2032;-3209;2.79;1.74E+09;0.00204436;0.08;0.0483;0.07;42;-19;-3;1.30E-08;0.00205376;24.22
24.22;Map-Otolith@0591;28.11.2021;00:35;31.78;2661;-2758;3;1.91E+09;0.00204436;0.13;0.0476;0.08;47;-24;3;1.10E-08;0.00205376;24.22
24.22;Map-Otolith@0355;27.11.2021;11:30;19.02;1915;-2144;2.89;1.84E+09;0.00204436;0.15;0.0368;0.06;44;-29;4;1.20E-08;0.00205376;24.22
24.22;Map-Otolith@0483;27.11.2021;18:38;26.15;2818;-2840;2.92;1.73E+09;0.00204437;0.17;0.0386;0.62;48;-27;6;1.10E-08;0.00205377;24.22
24.23;Map-Otolith@0196;27.11.2021;02:40;10.83;2386;-2594;2.85;1.78E+09;0.00204438;0.11;0.0434;0.06;48;-24;7;1.20E-08;0.00205378;24.23
24.23;Map-Otolith@0623;28.11.2021;02:27;33.65;2583;-2390;3.05;1.94E+09;0.00204439;0.15;0.0386;0.11;45;-29;6;1.10E-08;0.00205379;24.23
24.23;Map-Otolith@0647;28.11.2021;03:46;34.96;1596;-2599;2.92;1.90E+09;0.00204439;0.13;0.0433;0.3;34;-26;14;1.10E-08;0.00205379;24.23
24.24;Map-Otolith@0122;26.11.2021;22:36;6.77;1915;-3127;2.79;1.62E+09;0.0020444;0.1;0.0433;0.07;44;-20;17;1.20E-08;0.0020538;24.24
24.24;Map-Otolith@0488;27.11.2021;18:55;26.44;2072;-3086;2.92;1.83E+09;0.00204441;0.11;0.0439;0.27;46;-23;0;1.10E-08;0.00205381;24.24
24.26;Map-Otolith@0287;27.11.2021;07:46;15.61;2386;-2635;2.86;1.82E+09;0.00204444;0.14;0.0439;0.17;46;-26;8;1.20E-08;0.00205384;24.26
24.26;Map-Otolith@0685;28.11.2021;05:51;36.72;1796;-3220;2.91;1.77E+09;0.00204444;0.14;0.0371;0.31;41;-17;10;1.10E-08;0.00205384;24.26
24.26;Map-Otolith@0446;27.11.2021;16:36;24.12;1796;-3142;2.94;1.85E+09;0.00204446;0.1;0.0412;0.32;46;-21;4;1.10E-08;0.00205386;24.26
24.27;Map-Otolith@0171;27.11.2021;01:17;9.45;1556;-2792;2.8;1.71E+09;0.00204447;0.09;0.0428;0.43;46;-22;6;1.20E-08;0.00205387;24.27
24.28;Map-Otolith@0348;27.11.2021;11:07;18.96;2425;-3250;2.89;1.83E+09;0.0020445;0.15;0.0476;0.56;46;-26;3;1.20E-08;0.00205389;24.28
24.28;Map-Otolith@0217;27.11.2021;03:56;11.78;2072;-1857;2.84;1.78E+09;0.0020445;0.13;0.0405;0.05;47;-25;4;1.20E-08;0.00205389;24.28
24.28;Map-Otolith@0612;28.11.2021;01:51;33.05;1756;-2289;3.02;1.96E+09;0.0020445;0.12;0.0398;0.06;39;-29;7;1.10E-08;0.00205389;24.28
24.29;Map-Otolith@0679;28.11.2021;05:32;36.41;2190;-3332;2.95;1.79E+09;0.0020445;0.1;0.0495;0.32;45;-18;6;1.10E-08;0.0020539;24.29
24.3;Map-Otolith@0372;27.11.2021;12:26;19.95;2622;-2594;2.89;1.84E+09;0.00204452;0.12;0.0427;0.11;45;-28;5;1.20E-08;0.00205392;24.3
24.3;Map-Otolith@0190;27.11.2021;02:20;10.5;2308;-2390;2.81;1.75E+09;0.00204452;0.12;0.04;0.25;48;-24;4;1.20E-08;0.00205392;24.3
24.3;Map-Otolith@0295;27.11.2021;08:13;16.06;1676;-3064;2.84;1.78E+09;0.00204452;0.14;0.0435;0.28;43;-24;10;1.20E-08;0.00205392;24.3
24.31;Map-Otolith@0244;27.11.2021;05:25;13.26;2150;-2144;2.87;1.77E+09;0.00204455;0.16;0.0487;0.08;48;-25;9;1.20E-08;0.00205395;24.31
24.31;Map-Otolith@0168;27.11.2021;01:07;9.28;2425;-2922;2.81;1.77E+09;0.00204455;0.11;0.0418;0.21;47;-25;5;1.20E-08;0.00205395;24.31
24.31;Map-Otolith@0316;27.11.2021;09:22;17.21;1954;-3127;2.85;1.75E+09;0.00204456;0.13;0.0442;0.12;46;-27;10;1.20E-08;0.00205395;24.31
24.32;Map-Otolith@0608;28.11.2021;01:37;32.81;2308;-3168;3;1.92E+09;0.00204456;0.11;0.042;0.36;42;-24;8;1.10E-08;0.00205396;24.32
24.32;Map-Otolith@0179;27.11.2021;01:44;9.9;2504;-2226;2.82;1.78E+09;0.00204458;0.11;0.0421;0.28;47;-25;5;1.20E-08;0.00205398;24.32
24.34;Map-Otolith@0450;27.11.2021;16:50;24.35;2190;-2758;2.96;1.90E+09;0.0020446;0.12;0.04;0.14;45;-26;5;1.10E-08;0.002054;24.34
24.34;Map-Otolith@0540;27.11.2021;21:46;28.96;2308;-3086;2.91;1.87E+09;0.00204461;0.12;0.0413;0.37;45;-23;6;1.10E-08;0.00205401;24.34
24.34;Map-Otolith@0585;28.11.2021;00:15;31.45;2150;-1898;3.03;2.00E+09;0.00204461;0.12;0.0376;0.18;42;-30;2;1.10E-08;0.00205401;24.34
24.34;Map-Otolith@0357;27.11.2021;11:37;19.14;2701;-2717;2.92;1.85E+09;0.00204461;0.11;0.0406;0.23;48;-26;4;1.20E-08;0.00205401;24.34
24.34;Map-Otolith@0185;27.11.2021;02:04;10.23;2190;-2390;2.84;1.77E+09;0.00204462;0.14;0.0452;0.5;48;-23;4;1.20E-08;0.00205402;24.34
24.35;Map-Otolith@0561;27.11.2021;22:56;30.13;1836;-3258;2.99;1.88E+09;0.00204463;0.12;0.0401;0.27;45;-17;13;1.10E-08;0.00205403;24.35
24.36;Map-Otolith@0667;28.11.2021;04:52;35.74;1756;-2133;2.93;1.88E+09;0.00204464;0.14;0.0432;0.07;41;-28;9;1.10E-08;0.00205404;24.36
24.36;Map-Otolith@0363;27.11.2021;11:56;19.45;1676;-2754;2.9;1.83E+09;0.00204465;0.12;0.044;0.33;43;-26;3;1.20E-08;0.00205405;24.36
24.36;Map-Otolith@0214;27.11.2021;03:46;11.61;2700;-2922;2.86;1.82E+09;0.00204465;0.12;0.0432;0.19;46;-26;3;1.20E-08;0.00205405;24.36
24.38;Map-Otolith@0306;27.11.2021;08:49;16.66;2504;-3373;2.85;1.81E+09;0.0020447;0.15;0.0418;0.35;47;-24;3;1.20E-08;0.00205409;24.38
24.39;Map-Otolith@0726;28.11.2021;08:07;38.99;2229;-2390;2.88;1.89E+09;0.0020447;0.13;0.0362;0.17;40;-26;7;1.00E-08;0.0020541;24.39
24.39;Map-Otolith@0149;27.11.2021;00:05;8.25;2033;-2185;2.74;1.72E+09;0.0020447;0.14;0.0442;0.24;44;-20;6;1.20E-08;0.0020541;24.39
24.4;Map-Otolith@0648;28.11.2021;03:49;35.01;2426;-2144;2.92;1.87E+09;0.00204472;0.11;0.0375;0.1;45;-30;7;1.10E-08;0.00205412;24.4
24.4;Map-Otolith@0323;27.11.2021;09:45;17.59;1955;-2513;2.85;1.79E+09;0.00204472;0.12;0.0407;0.28;45;-28;2;1.20E-08;0.00205412;24.4
24.4;Map-Otolith@0401;27.11.2021;14:08;21.65;1915;-1898;2.94;1.85E+09;0.00204473;0.1;0.0417;0.18;45;-24;6;1.20E-08;0.00205413;24.4
24.41;Map-Otolith@0209;27.11.2021;03:29;11.33;2701;-2881;2.85;1.79E+09;0.00204475;0.13;0.0403;0.06;46;-26;2;1.20E-08;0.00205415;24.41
24.42;Map-Otolith@0338;27.11.2021;10:34;18.41;1756;-3181;2.89;1.79E+09;0.00204476;0.13;0.0417;0.25;46;-22;11;1.20E-08;0.00205416;24.42
