Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
2@01	28.33	-3257	6710	2.63	2.14E+09	0.00205230	0.141	2.61E-02	8	-37	-6	0.00205482	24.74	
2@02	28.40	-3277	6681	2.63	2.14E+09	0.00205187	0.202	2.44E-02	8	-37	-6	0.00205438	24.53	
2@03	28.47	-3297	6652	2.62	2.15E+09	0.00205313	0.195	2.40E-02	7	-37	-5	0.00205565	25.16	
2@04	28.53	-3317	6624	2.62	2.14E+09	0.00205176	0.157	2.30E-02	7	-37	-6	0.00205427	24.47	
2@05	28.60	-3337	6596	2.62	2.16E+09	0.00205229	0.160	2.12E-02	7	-36	-5	0.00205480	24.74	
2@06	28.68	-3357	6567	2.62	2.13E+09	0.00205372	0.184	2.36E-02	6	-36	-4	0.00205624	25.45	
2@07	28.75	-3377	6539	2.62	2.13E+09	0.00205175	0.182	2.72E-02	6	-36	-4	0.00205426	24.47	
2@08	28.82	-3397	6511	2.62	2.12E+09	0.00204876	0.177	2.49E-02	6	-36	-5	0.00205127	22.98	
2@09	28.88	-3417	6483	2.62	2.13E+09	0.00205120	0.190	2.79E-02	6	-35	-4	0.00205371	24.19	
2@10	28.95	-3437	6454	2.63	2.13E+09	0.00204940	0.155	2.86E-02	5	-35	-4	0.00205191	23.29	
2@11	29.02	-3457	6426	2.61	2.11E+09	0.00204982	0.172	3.41E-02	5	-34	-4	0.00205233	23.50	
2@12	29.08	-3477	6398	2.61	2.12E+09	0.00205372	0.199	2.72E-02	5	-34	-3	0.00205623	25.45	
2@13	29.15	-3497	6370	2.61	2.13E+09	0.00205434	0.160	2.78E-02	5	-34	-4	0.00205686	25.76	
2@14	29.22	-3517	6341	2.61	2.12E+09	0.00205477	0.193	2.91E-02	5	-34	-5	0.00205729	25.98	
2@15	29.28	-3537	6313	2.61	2.13E+09	0.00205349	0.185	2.82E-02	5	-34	-5	0.00205601	25.34	
