Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#Q-S88@40	35.82	4025	2407	2.33	2.12E+09	0.00203951	0.18	0.0243	25	-11	30	0.00204908	21.88	
#Q-S88@41	35.89	3997	2428	2.33	2.13E+09	0.00203948	0.19	0.0237	25	-12	30	0.00204905	21.87	
#Q-S88@42	35.95	3968	2449	2.34	2.14E+09	0.00203948	0.14	0.0241	24	-11	32	0.00204906	21.87	
#Q-S88@43	36.02	3941	2469	2.33	2.14E+09	0.00203899	0.19	0.0249	25	-11	32	0.00204856	21.62	
#Q-S88@44	36.09	3912	2491	2.33	2.15E+09	0.00204367	0.18	0.0253	24	-11	30	0.00205326	23.97	
#R-S88@01	36.15	4977	3410	2.32	2.14E+09	0.00203823	0.16	0.0299	45	-20	25	0.00204779	21.24	
#R-S88@02	36.22	5011	3415	2.34	2.11E+09	0.00203841	0.21	0.0302	45	-22	23	0.00204798	21.33	
#R-S88@03	36.29	5045	3421	2.34	2.12E+09	0.00203901	0.18	0.0299	46	-21	26	0.00204858	21.63	
#R-S88@04	36.35	5079	3427	2.35	2.09E+09	0.00203872	0.19	0.0327	47	-23	23	0.00204829	21.49	
#R-S88@05	36.55	5114	3433	2.34	2.09E+09	0.00203915	0.15	0.0316	48	-24	24	0.00204872	21.71	
#R-S88@06	36.62	5148	3439	2.34	1.95E+09	0.00203290	0.16	0.0362	49	-23	20	0.00204245		Crack
#R-S88@07	36.69	5182	3445	2.34	2.09E+09	0.00203888	0.20	0.0320	49	-24	25	0.00204845	21.57	
#R-S88@08	36.75	5217	3451	2.34	2.10E+09	0.00203748	0.15	0.0313	50	-23	21	0.00204704	20.87	
#R-S88@09	36.82	5251	3457	2.35	2.12E+09	0.00203780	0.19	0.0324	50	-25	23	0.00204736	21.03	
#R-S88@10	36.89	5286	3463	2.35	2.11E+09	0.00203893	0.19	0.0320	50	-25	22	0.00204850	21.59	
#R-S88@11	36.95	5320	3469	2.35	1.84E+09	0.00203319	0.21	0.0375	51	-24	21	0.00204274		Crack
#R-S88@12	37.04	5354	3475	2.34	2.07E+09	0.00203813	0.17	0.0350	51	-26	22	0.00204769	21.19	
#R-S88@13	37.10	5389	3481	2.34	1.97E+09	0.00203503	0.19	0.0354	52	-25	24	0.00204458	19.64	
#R-S88@14	37.17	5423	3487	2.35	2.12E+09	0.00203537	0.20	0.0371	52	-27	21	0.00204492	19.81	
#R-S88@15	37.24	5458	3493	2.35	2.10E+09	0.00203751	0.18	0.0363	53	-27	24	0.00204707	20.88	
#R-S88@16	37.30	5492	3499	2.35	2.09E+09	0.00203750	0.20	0.0336	54	-26	21	0.00204706	20.88	
#R-S88@17	37.37	5526	3505	2.35	2.10E+09	0.00203758	0.17	0.0318	54	-28	24	0.00204715	20.92	
#R-S88@18	37.44	5561	3511	2.34	2.11E+09	0.00203899	0.16	0.0322	55	-27	20	0.00204856	21.63	
#R-S88@19	37.50	5595	3517	2.35	2.12E+09	0.00203980	0.15	0.0323	55	-29	23	0.00204938	22.03	
#R-S88@20	37.57	5629	3523	2.34	2.12E+09	0.00204178	0.15	0.0324	56	-28	20	0.00205136	23.02	
#R-S88@21	37.64	5664	3529	2.34	2.13E+09	0.00204130	0.19	0.0319	56	-28	22	0.00205088	22.78	
#R-S88@22	37.70	5698	3535	2.34	2.12E+09	0.00204497	0.15	0.0318	57	-30	20	0.00205457	24.62	
#R-S88@23	37.77	5733	3541	2.35	2.12E+09	0.00204654	0.18	0.0327	58	-29	21	0.00205614	25.41	
#R-S88@24	37.84	5767	3547	2.35	2.12E+09	0.00204191	0.20	0.0319	58	-31	20	0.00205150	23.09	
#R-S88@25	38.04	5801	3553	2.35	2.13E+09	0.00204124	0.18	0.0325	59	-31	21	0.00205082	22.75	
#R-S88@26	38.10	5836	3559	2.35	2.13E+09	0.00204039	0.19	0.0305	59	-31	19	0.00204997	22.33	
#R-S88@27	38.17	5870	3565	2.36	2.13E+09	0.00203832	0.16	0.0304	59	-33	22	0.00204789	21.29	
#R-S88@28	38.24	5905	3571	2.35	2.13E+09	0.00204013	0.21	0.0312	61	-32	19	0.00204971	22.20	
#R-S88@29	38.30	5939	3577	2.36	2.11E+09	0.00204172	0.20	0.0311	61	-34	21	0.00205130	22.99	
#R-S88@30	38.37	5973	3583	2.35	2.13E+09	0.00204018	0.19	0.0320	62	-32	19	0.00204976	22.22	
#R-S88@31	38.44	6008	3589	2.36	2.12E+09	0.00204314	0.17	0.0287	63	-33	21	0.00205273	23.70	
#R-S88@32	38.50	6042	3595	2.35	2.11E+09	0.00204333	0.15	0.0288	63	-35	19	0.00205292	23.80	
#R-S88@33	38.57	6077	3601	2.36	2.14E+09	0.00204435	0.17	0.0298	64	-35	20	0.00205395	24.31	
#R-S88@34	38.65	6111	3607	2.36	2.14E+09	0.00204360	0.18	0.0309	64	-36	18	0.00205319	23.94	
#R-S88@35	38.72	6145	3613	2.35	2.10E+09	0.00204103	0.19	0.0279	65	-35	21	0.00205061	22.64	
#R-S88@36	38.79	6180	3619	2.35	2.11E+09	0.00204001	0.20	0.0278	66	-36	17	0.00204958	22.13	
#R-S88@37	38.85	6214	3625	2.36	2.10E+09	0.00203883	0.20	0.0255	66	-38	21	0.00204840	21.54	
#R-S88@38	38.92	6248	3631	2.35	2.10E+09	0.00204018	0.16	0.0258	67	-37	18	0.00204975	22.22	
#R-S88@39	38.99	6283	3637	2.35	2.11E+09	0.00204325	0.20	0.0250	67	-39	19	0.00205284	23.76	
#R-S88@40	39.05	6317	3643	2.34	2.11E+09	0.00204320	0.15	0.0262	68	-38	19	0.00205279	23.73	
#R-S88@41	39.12	6352	3649	2.33	2.10E+09	0.00204618	0.18	0.0264	69	-38	20	0.00205579	25.23	
#R-S88@42	39.19	6386	3655	2.34	2.11E+09	0.00203939	0.17	0.0278	69	-41	17	0.00204897	21.83	
#R-S88@43	39.25	6420	3661	2.35	2.11E+09	0.00203907	0.16	0.0263	70	-40	19	0.00204864	21.66	
#R-S88@44	39.32	6455	3667	2.34	2.11E+09	0.00203665	0.21	0.0250	70	-41	17	0.00204621	20.45	
#R-S88@45	39.52	6489	3673	2.34	2.14E+09	0.00204040	0.19	0.0274	71	-41	19	0.00204998	22.33	
#R-S88@46	39.59	6524	3679	2.35	2.13E+09	0.00204131	0.18	0.0264	72	-41	17	0.00205089	22.79	
#R-S88@47	39.65	6558	3685	2.35	2.10E+09	0.00204444	0.19	0.0257	72	-43	21	0.00205403	24.35	
#S-S88@01	39.72	4090	5485	2.35	2.14E+09	0.00204143	0.15	0.0323	64	-38	24	0.00205102	22.85	
#S-S88@02	39.79	4123	5472	2.33	2.14E+09	0.00204285	0.19	0.0306	64	-38	21	0.00205244	23.56	
#S-S88@03	39.85	4157	5459	2.33	2.11E+09	0.00204223	0.18	0.0303	65	-37	21	0.00205181	23.25	
#S-S88@04	39.92	4191	5447	2.34	2.12E+09	0.00203901	0.18	0.0330	65	-38	22	0.00204858	21.63	
#S-S88@05	39.99	4225	5435	2.33	2.08E+09	0.00203700	0.16	0.0349	66	-37	22	0.00204656	20.63	
#S-S88@06	40.05	4259	5423	2.33	2.10E+09	0.00203712	0.16	0.0348	66	-38	21	0.00204669	20.69	
#S-S88@07	40.14	4293	5411	2.33	2.13E+09	0.00203846	0.18	0.0339	67	-37	21	0.00204803	21.36	
#S-S88@08	40.20	4327	5398	2.34	2.13E+09	0.00203703	0.16	0.0322	66	-39	22	0.00204659	20.64	
#S-S88@09	40.27	4361	5386	2.34	2.12E+09	0.00203580	0.15	0.0362	68	-38	21	0.00204536	20.03	
#S-S88@10	40.34	4395	5374	2.34	2.13E+09	0.00203886	0.18	0.0329	67	-40	22	0.00204843	21.56	
#S-S88@11	40.40	4429	5362	2.33	2.13E+09	0.00203794	0.20	0.0327	68	-38	21	0.00204751	21.10	
#S-S88@12	40.47	4463	5350	2.34	2.11E+09	0.00204080	0.16	0.0305	68	-40	22	0.00205038	22.53	
#S-S88@13	40.54	4497	5337	2.34	2.03E+09	0.00203812	0.16	0.0357	69	-39	20	0.00204768	21.19	
#S-S88@14	40.60	4531	5325	2.34	2.12E+09	0.00204036	0.20	0.0330	69	-40	20	0.00204994	22.31	
#S-S88@15	40.67	4565	5313	2.33	2.09E+09	0.00204042	0.17	0.0341	69	-39	20	0.00205000	22.34	
#S-S88@16	39.74	4599	5301	2.34	2.07E+09	0.00204180	0.19	0.0328	69	-40	22	0.00205138	23.03	
#S-S88@17	39.80	4633	5289	2.33	2.05E+09	0.00203838	0.21	0.0352	70	-39	21	0.00204795	21.32	
#S-S88@18	40.00	4667	5276	2.33	2.06E+09	0.00204124	0.16	0.0313	70	-40	18	0.00205082	22.75	
#S-S88@19	40.07	4701	5264	2.32	2.08E+09	0.00204282	0.18	0.0333	70	-39	19	0.00205241	23.54	
#S-S88@20	40.14	4735	5252	2.33	2.10E+09	0.00204472	0.17	0.0324	70	-41	19	0.00205431	24.49	
#S-S88@21	40.20	4769	5240	2.32	2.10E+09	0.00204479	0.14	0.0329	71	-39	19	0.00205438	24.53	
#S-S88@22	40.27	4803	5228	2.33	2.10E+09	0.00204699	0.18	0.0325	71	-41	19	0.00205659	25.63	
#S-S88@23	40.34	4837	5216	2.33	2.10E+09	0.00204661	0.18	0.0323	72	-40	18	0.00205622	25.44	
#S-S88@24	40.40	4871	5203	2.32	2.08E+09	0.00204782	0.20	0.0318	71	-41	20	0.00205743	26.05	
#S-S88@25	40.47	4905	5191	2.31	2.06E+09	0.00204157	0.17	0.0331	72	-40	18	0.00205115	22.92	
#S-S88@26	40.54	4939	5179	2.31	2.08E+09	0.00204335	0.20	0.0320	72	-42	19	0.00205294	23.81	
#S-S88@27	40.60	4973	5167	2.30	2.07E+09	0.00204303	0.15	0.0306	73	-41	18	0.00205262	23.65	
#S-S88@28	40.67	5007	5155	2.32	2.08E+09	0.00204369	0.14	0.0307	73	-43	18	0.00205328	23.98	
#S-S88@29	40.74	5041	5142	2.32	2.08E+09	0.00204793	0.16	0.0312	73	-42	19	0.00205754	26.10	
#S-S88@30	40.80	5075	5130	2.31	2.06E+09	0.00204837	0.18	0.0275	74	-44	20	0.00205799	26.33	
#S-S88@31	40.89	5109	5118	2.30	2.06E+09	0.00204765	0.18	0.0277	74	-42	20	0.00205726	25.96	
#S-S88@32	40.95	5143	5106	2.30	2.06E+09	0.00204557	0.14	0.0278	74	-44	20	0.00205517	24.92	
#S-S88@33	41.02	5177	5094	2.32	2.06E+09	0.00204455	0.20	0.0290	75	-42	20	0.00205415	24.41	
#S-S88@34	41.09	5211	5081	2.31	2.05E+09	0.00204405	0.20	0.0277	75	-44	19	0.00205364	24.16	
#S-S88@35	41.15	5245	5069	2.31	2.05E+09	0.00204538	0.17	0.0271	76	-43	20	0.00205498	24.83	
#S-S88@36	41.22	5279	5057	2.31	2.06E+09	0.00204704	0.17	0.0283	75	-45	19	0.00205665	25.66	
#S-S88@37	41.29	5313	5045	2.29	2.05E+09	0.00204744	0.20	0.0273	76	-43	19	0.00205705	25.86	
#S-S88@38	41.35	5347	5033	2.30	2.06E+09	0.00203993	0.18	0.0293	76	-45	19	0.00204950	22.09	
#T-S88@01	29.82	1107	-884	2.36	2.19E+09	0.00203808	0.22	0.0298	-8	-1	27	0.00204765	21.17	
#T-S88@02	29.89	1087	-913	2.37	2.19E+09	0.00203819	0.17	0.0288	-9	-1	28	0.00204775	21.22	
#T-S88@03	29.95	1067	-942	2.37	2.17E+09	0.00204032	0.14	0.0285	-8	-1	31	0.00204990	22.29	
#T-S88@04	30.02	1047	-971	2.37	2.12E+09	0.00203995	0.16	0.0287	-9	-1	30	0.00204952	22.10	
#T-S88@05	30.09	1027	-1000	2.37	2.17E+09	0.00204107	0.18	0.0285	-9	1	29	0.00205065	22.67	
#T-S88@06	30.15	1008	-1029	2.37	2.17E+09	0.00204055	0.20	0.0316	-9	2	30	0.00205013	22.40	
#T-S88@07	30.22	988	-1058	2.37	2.12E+09	0.00203963	0.19	0.0332	-10	2	32	0.00204921	21.95	
#T-S88@08	30.29	969	-1087	2.37	2.13E+09	0.00203929	0.16	0.0318	-10	2	32	0.00204886	21.77	
#T-S88@09	30.35	949	-1116	2.36	1.91E+09	0.00203238	0.17	0.0363	-10	1	29	0.00204192	18.31	
#T-S88@10	30.42	929	-1145	2.37	2.09E+09	0.00203442	0.17	0.0363	-10	2	30	0.00204397	19.34	
#T-S88@11	30.62	910	-1174	2.36	2.11E+09	0.00203672	0.17	0.0350	-11	1	33	0.00204628	20.49	
#T-S88@12	30.69	890	-1203	2.36	2.13E+09	0.00203865	0.18	0.0334	-11	1	33	0.00204822	21.46	
#T-S88@13	30.77	870	-1232	2.37	2.15E+09	0.00203910	0.21	0.0373	-12	1	30	0.00204867	21.68	
#T-S88@14	30.84	851	-1261	2.36	2.15E+09	0.00203938	0.17	0.0342	-12	1	29	0.00204895	21.82	
#T-S88@15	30.90	831	-1290	2.37	2.15E+09	0.00203906	0.18	0.0321	-13	1	32	0.00204863	21.66	
#T-S88@16	30.97	811	-1319	2.37	2.13E+09	0.00203917	0.15	0.0322	-13	2	32	0.00204874	21.71	
#T-S88@17	31.04	792	-1348	2.36	2.16E+09	0.00203953	0.20	0.0314	-13	3	29	0.00204910	21.89	
#T-S88@18	31.10	772	-1377	2.37	2.15E+09	0.00204069	0.18	0.0292	-13	3	30	0.00205027	22.48	
#T-S88@19	31.17	752	-1406	2.36	2.14E+09	0.00204280	0.19	0.0308	-14	3	33	0.00205239	23.53	
#T-S88@20	31.24	733	-1435	2.36	2.15E+09	0.00204334	0.14	0.0315	-14	3	32	0.00205293	23.81	
#T-S88@21	31.30	713	-1464	2.36	2.16E+09	0.00204390	0.19	0.0314	-14	4	30	0.00205350	24.09	
#T-S88@22	31.37	693	-1493	2.36	2.17E+09	0.00204584	0.16	0.0317	-15	3	31	0.00205545	25.06	
#T-S88@23	31.44	673	-1522	2.37	2.14E+09	0.00204428	0.16	0.0297	-15	3	33	0.00205387	24.27	
#T-S88@24	31.50	654	-1550	2.37	2.15E+09	0.00204251	0.19	0.0311	-15	2	33	0.00205210	23.39	
#T-S88@25	31.57	634	-1578	2.37	2.13E+09	0.00204068	0.19	0.0315	-15	2	32	0.00205026	22.47	
#T-S88@26	31.64	615	-1606	2.37	2.13E+09	0.00204020	0.18	0.0290	-16	2	33	0.00204977	22.23	
#T-S88@27	31.70	595	-1634	2.37	2.16E+09	0.00204002	0.16	0.0304	-16	2	32	0.00204960	22.14	
#T-S88@28	31.77	575	-1662	2.37	2.15E+09	0.00204207	0.18	0.0315	-16	2	33	0.00205165	23.17	
#T-S88@29	31.84	556	-1690	2.37	2.16E+09	0.00204152	0.15	0.0305	-16	3	32	0.00205111	22.89	
#T-S88@30	31.90	536	-1718	2.36	2.14E+09	0.00204485	0.18	0.0291	-17	4	33	0.00205445	24.56	
#T-S88@31	32.10	516	-1746	2.36	2.13E+09	0.00204640	0.19	0.0280	-17	4	33	0.00205600	25.34	
#T-S88@32	32.17	497	-1774	2.36	2.15E+09	0.00204538	0.15	0.0303	-17	4	32	0.00205498	24.83	
#T-S88@33	32.24	477	-1802	2.37	2.14E+09	0.00204363	0.16	0.0290	-18	4	33	0.00205322	23.95	
#T-S88@34	32.30	457	-1830	2.36	2.14E+09	0.00204168	0.21	0.0299	-18	4	32	0.00205126	22.97	
#T-S88@35	32.39	438	-1858	2.36	2.13E+09	0.00203937	0.16	0.0264	-18	3	33	0.00204894	21.81	
#T-S88@36	32.45	418	-1886	2.36	2.13E+09	0.00203981	0.16	0.0277	-19	3	34	0.00204939	22.04	
#T-S88@37	32.52	398	-1914	2.36	2.15E+09	0.00204407	0.19	0.0290	-19	3	33	0.00205367	24.17	
#T-S88@38	32.59	379	-1942	2.36	2.15E+09	0.00204616	0.19	0.0305	-20	3	33	0.00205576	25.21	
#T-S88@39	32.65	359	-1970	2.36	2.12E+09	0.00204060	0.18	0.0274	-20	4	33	0.00205017	22.43	
#T-S88@40	32.72	339	-1998	2.36	2.12E+09	0.00203996	0.17	0.0258	-20	3	33	0.00204953	22.11	
#T-S88@41	32.79	320	-2026	2.36	2.12E+09	0.00203733	0.15	0.0248	-21	4	34	0.00204690	20.79	
#T-S88@42	32.85	300	-2054	2.35	2.13E+09	0.00204252	0.15	0.0269	-21	4	33	0.00205211	23.39	
