Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#N-S88@49	9.13	4256	-5814	2.21	2.03E+09	0.00203978	0.14	0.0238	-6	39	27	0.00204935	22.02	
#N-S88@50	9.20	4281	-5838	2.21	2.01E+09	0.00204008	0.16	0.0248	-6	41	29	0.00204966	22.17	
#O-S88@01	25.12	3324	-1709	2.35	2.19E+09	0.00204033	0.21	0.0290	-3	-2	31	0.00204991	22.30	
#O-S88@02	25.18	3346	-1682	2.37	2.17E+09	0.00203779	0.21	0.0293	-3	-3	32	0.00204735	21.02	
#O-S88@03	25.25	3368	-1655	2.37	2.19E+09	0.00203818	0.16	0.0297	-2	-2	32	0.00204775	21.22	
#O-S88@04	25.32	3391	-1628	2.37	2.19E+09	0.00203827	0.18	0.0299	-2	-3	30	0.00204783	21.26	
#O-S88@05	25.38	3414	-1601	2.37	2.20E+09	0.00203807	0.17	0.0296	-2	-4	28	0.00204764	21.16	
#O-S88@06	25.45	3436	-1574	2.38	2.20E+09	0.00203913	0.19	0.0291	-2	-3	32	0.00204870	21.69	
#O-S88@07	25.52	3459	-1547	2.39	2.19E+09	0.00203964	0.14	0.0287	-1	-5	31	0.00204922	21.95	
#O-S88@08	25.60	3482	-1520	2.38	2.18E+09	0.00203791	0.14	0.0291	-1	-5	30	0.00204747	21.08	
#O-S88@09	25.67	3504	-1493	2.37	2.16E+09	0.00203953	0.19	0.0291	0	-4	30	0.00204910	21.89	
#O-S88@10	25.73	3527	-1466	2.38	1.98E+09	0.00203784	0.21	0.0292	-1	-5	31	0.00204740	21.05	
#O-S88@11	25.80	3550	-1439	2.38	2.17E+09	0.00203803	0.18	0.0295	1	-6	30	0.00204760	21.14	
#O-S88@12	25.87	3573	-1412	2.38	2.21E+09	0.00204088	0.16	0.0287	2	-4	28	0.00205046	22.57	
#O-S88@13	25.93	3595	-1385	2.38	2.14E+09	0.00203935	0.19	0.0290	1	-5	29	0.00204893	21.81	
#O-S88@14	26.15	3618	-1358	2.37	2.13E+09	0.00203874	0.21	0.0298	1	-6	31	0.00204831	21.50	
#O-S88@15	26.22	3641	-1331	2.38	2.18E+09	0.00203859	0.18	0.0305	2	-5	30	0.00204815	21.42	
#O-S88@16	26.28	3663	-1304	2.38	2.18E+09	0.00203919	0.18	0.0298	2	-6	29	0.00204876	21.72	
#O-S88@17	26.35	3686	-1277	2.39	2.20E+09	0.00203963	0.17	0.0305	2	-7	29	0.00204920	21.94	
#O-S88@18	26.42	3709	-1250	2.39	2.16E+09	0.00204069	0.16	0.0299	3	-5	30	0.00205026	22.47	
#O-S88@19	26.48	3732	-1223	2.38	2.18E+09	0.00204266	0.20	0.0304	3	-5	31	0.00205224	23.46	
#O-S88@20	26.55	3754	-1196	2.38	2.17E+09	0.00204356	0.18	0.0299	3	-7	30	0.00205315	23.91	
#O-S88@21	26.62	3777	-1169	2.38	2.19E+09	0.00204321	0.23	0.0289	3	-5	29	0.00205280	23.74	
#O-S88@22	26.68	3800	-1142	2.38	2.20E+09	0.00203933	0.16	0.0298	4	-5	30	0.00204890	21.79	
#O-S88@23	26.75	3822	-1115	2.39	2.18E+09	0.00204193	0.19	0.0297	4	-7	31	0.00205151	23.10	
#O-S88@24	26.82	3845	-1088	2.39	2.19E+09	0.00204544	0.19	0.0256	4	-6	29	0.00205504	24.85	
#O-S88@25	26.88	3868	-1061	2.39	2.20E+09	0.00204155	0.17	0.0272	5	-5	29	0.00205113	22.91	
#O-S88@26	26.95	3891	-1034	2.40	2.18E+09	0.00204109	0.17	0.0274	4	-7	30	0.00205067	22.68	
#O-S88@27	27.03	3913	-1007	2.39	2.19E+09	0.00204166	0.18	0.0281	6	-6	30	0.00205124	22.96	
