Analysis;Analysis;Type;Oto number;Date;;;time after start (h);;east - west (µm);north - south (µm);primary current (nA);16 O ions per sec;18O/16O measured;1 SE (‰);;;DT-FA-x (bits);DT-FA-y (bits);entrance slit (bits);;;18O/16O IMF Corrected;d18O SMOW;
I-18O-trans034;PSO-#I@34;tr;BH-00730;11.02.2021;;17:22:00;;;3681;3195;1.27;2.65E+09;0.00204463;0.09;;;26;-6;1;;;0.00205228;23.48;
I-18O-trans035;PSO-#I@35;tr;BH-00730;11.02.2021;;17:26:00;;;3647;3192;1.27;2.65E+09;0.00204409;0.1;;;26;-6;1;;;0.00205174;23.21;
I-18O-trans036;PSO-#I@36;tr;BH-00730;11.02.2021;;17:30:00;;;3613;3190;1.25;2.59E+09;0.00204391;0.11;;;26;-6;2;;;0.00205156;23.12;
I-18O-trans037;PSO-#I@37;tr;BH-00730;11.02.2021;;17:34:00;;;3579;3187;1.26;2.65E+09;0.00204363;0.08;;;26;-6;-1;;;0.00205128;22.98;
I-18O-trans038;PSO-#I@38;tr;BH-00730;11.02.2021;;17:38:00;;;3544;3184;1.26;2.64E+09;0.00204477;0.1;;;25;-5;1;;;0.00205243;23.55;
I-18O-trans039;PSO-#I@39;tr;core;11.02.2021;;17:42:00;;;3511;3181;1.26;2.64E+09;0.0020438;0.11;;;24;-5;3;;;0.00205145;23.06;
F2-18O-Pt002;PSO-#F@02;Pt;BH-01741;12.02.2021;;07:22:00;;;-1257;-6040;0.85;2.06E+09;0.00205633;0.12;;;-2;45;4;;;0.00206402;29.33;
F2-18O-Pt003;PSO-#F@03;Pt;BH-01741;12.02.2021;;07:26:00;;;-1119;-5997;0.87;1.24E+07;0.00171909;#WERT!;;;-47;0;52;;;;;bad analysis, perhaps hit a crack or inclusion
F2-18O-Pt004;PSO-#F@04;Pt;BH-01741;12.02.2021;;07:29:00;;;-1160;-5950;0.88;2.06E+09;0.00205404;0.1;;;2;45;3;;;0.00206172;28.19;
F2-18O-Pt005;PSO-#F@05;Pt;BH-01741;12.02.2021;;07:33:00;;;-1031;-5916;0.86;2.07E+09;0.00205322;0.11;;;2;42;3;;;0.0020609;27.78;
F2-18O-Pt006;PSO-#F@06;Pt;BH-01741;12.02.2021;;07:37:00;;;-1071;-5836;0.87;2.08E+09;0.00205844;0.09;;;3;42;4;;;0.00206614;30.39;
F2-18O-Pt007;PSO-#F@07;Pt;BH-01741;12.02.2021;;07:41:00;;;-972;-5809;0.88;2.06E+09;0.00205241;0.11;;;4;40;4;;;0.00206009;27.37;
F2-18O-Pt008;PSO-#F@08;Pt;BH-01741;12.02.2021;;07:45:00;;;-998;-5721;0.87;2.07E+09;0.00205558;0.1;;;4;38;4;;;0.00206327;28.96;
F2-18O-Pt009;PSO-#F@09;Pt;BH-01741;12.02.2021;;07:49:00;;;-835;-5614;0.88;2.07E+09;0.00205058;0.12;;;6;36;7;;;0.00205825;26.46;
F2-18O-Pt01;PSO-#F@01;Pt;BH-01741;12.02.2021;;07:18:00;;;-1215;-6097;0.88;2.08E+09;0.00205494;0.09;;;-1;45;5;;;0.00206263;28.64;
F2-18O-Pt010;PSO-#F@10;Pt;BH-01741;12.02.2021;;07:53:00;;;-855;-5537;0.86;2.08E+09;0.00204979;0.06;;;6;35;4;;;0.00205745;26.06;
F2-18O-Pt011;PSO-#F@11;Pt;BH-01741;12.02.2021;;07:56:00;;;-674;-5462;0.87;2.06E+09;0.00205259;0.1;;;8;33;5;;;0.00206027;27.46;
F2-18O-Pt012;PSO-#F@12;Pt;BH-01741;12.02.2021;;08:00:00;;;-712;-5373;0.86;2.06E+09;0.0020507;0.1;;;8;33;4;;;0.00205837;26.52;
F2-18O-trans002;PSO-#F@02;tr;BH-01741;12.02.2021;;04:47:00;;;-1155;-6188;1.06;2.29E+09;0.00205997;0.1;;;0;46;5;;;0.00206768;31.16;
F2-18O-trans003;PSO-#F@03;tr;BH-01741;12.02.2021;;04:50:00;;;-1122;-6148;1.04;2.28E+09;0.00205376;0.1;;;0;46;3;;;0.00206144;28.05;
F2-18O-trans004;PSO-#F@04;tr;BH-01741;12.02.2021;;05:02:00;;;-1089;-6108;1.05;2.28E+09;0.00205648;0.09;;;3;45;2;;;0.00206417;29.41;
F2-18O-trans005;PSO-#F@05;tr;BH-01741;12.02.2021;;05:06:00;;;-1056;-6068;1.05;2.36E+09;0.00205204;0.08;;;1;45;2;;;0.00205972;27.19;
F2-18O-trans006;PSO-#F@06;tr;BH-01741;12.02.2021;;05:10:00;;;-1023;-6028;1.05;2.31E+09;0.00205631;0.11;;;0;45;7;;;0.002064;29.32;
F2-18O-trans007;PSO-#F@07;tr;BH-01741;12.02.2021;;05:14:00;;;-990;-5988;1.06;2.27E+09;0.00205314;0.08;;;3;43;4;;;0.00206083;27.74;
F2-18O-trans008;PSO-#F@08;tr;BH-01741;12.02.2021;;05:18:00;;;-957;-5948;1.05;2.06E+09;0.00205325;0.1;;;3;43;3;;;0.00206093;27.79;
F2-18O-trans009;PSO-#F@09;tr;BH-01741;12.02.2021;;05:22:00;;;-924;-5908;1.05;2.26E+09;0.00205689;0.1;;;4;42;4;;;0.00206459;29.62;
F2-18O-trans01;PSO-#F@01;tr;margin;12.02.2021;;04:43:00;;;-1187;-6228;1.06;2.27E+09;0.00205507;0.11;;;0;46;4;;;0.00206276;28.7;
F2-18O-trans010;PSO-#F@10;tr;BH-01741;12.02.2021;;05:26:00;;;-891;-5867;1.05;2.27E+09;0.00205327;0.09;;;4;40;6;;;0.00206096;27.81;
F2-18O-trans011;PSO-#F@11;tr;BH-01741;12.02.2021;;05:29:00;;;-858;-5826;1.05;2.27E+09;0.00205202;0.12;;;5;40;5;;;0.0020597;27.18;
F2-18O-trans012;PSO-#F@12;tr;BH-01741;12.02.2021;;05:33:00;;;-825;-5785;1.04;2.26E+09;0.00205328;0.1;;;6;40;3;;;0.00206096;27.81;
F2-18O-trans013;PSO-#F@13;tr;BH-01741;12.02.2021;;05:37:00;;;-792;-5744;1.03;2.26E+09;0.00205234;0.09;;;6;39;4;;;0.00206002;27.34;
F2-18O-trans014;PSO-#F@14;tr;BH-01741;12.02.2021;;05:41:00;;;-759;-5703;1.03;2.21E+09;0.00205502;0.1;;;7;38;6;;;0.00206271;28.68;
F2-18O-trans015;PSO-#F@15;tr;BH-01741;12.02.2021;;05:45:00;;;-736;-5677;1.02;2.18E+09;0.00205209;0.14;;;6;37;6;;;0.00205976;27.21;
F2-18O-trans016;PSO-#F@16;tr;BH-01741;12.02.2021;;05:49:00;;;-713;-5651;1.02;2.22E+09;0.00205257;0.11;;;7;37;6;;;0.00206025;27.45;
F2-18O-trans017;PSO-#F@17;tr;BH-01741;12.02.2021;;05:52:00;;;-690;-5625;1.01;2.23E+09;0.00205312;0.09;;;8;36;4;;;0.0020608;27.73;
F2-18O-trans018;PSO-#F@18;tr;BH-01741;12.02.2021;;05:56:00;;;-667;-5599;1.01;2.24E+09;0.00205074;0.12;;;8;35;6;;;0.00205842;26.54;
F2-18O-trans019;PSO-#F@19;tr;BH-01741;12.02.2021;;06:04:00;;;-644;-5573;1;5.87E+08;0.00204288;0.21;;;6;36;9;;;0.00205053;;low count rate, discard
F2-18O-trans020;PSO-#F@20;tr;BH-01741;12.02.2021;;06:08:00;;;-621;-5547;1.01;2.17E+09;0.00205358;0.08;;;10;35;6;;;0.00206127;27.96;
F2-18O-trans021;PSO-#F@21;tr;BH-01741;12.02.2021;;06:12:00;;;-598;-5521;1.01;1.70E+09;0.00205289;0.1;;;9;34;3;;;0.00206058;;low count rate, discard
F2-18O-trans022;PSO-#F@22;tr;BH-01741;12.02.2021;;06:16:00;;;-575;-5495;1.01;2.20E+09;0.00205016;0.13;;;9;34;9;;;0.00205783;26.25;
F2-18O-trans023;PSO-#F@23;tr;BH-01741;12.02.2021;;06:20:00;;;-551;-5469;1;1.77E+09;0.00202237;0.1;;;17;32;25;;;0.00202993;;centering problem, discard
F2-18O-trans024;PSO-#F@24;tr;BH-01741;12.02.2021;;06:24:00;;;-527;-5443;0.99;2.23E+09;0.00204947;0.12;;;10;33;3;;;0.00205714;25.9;
F2-18O-trans025;PSO-#F@25;tr;BH-01741;12.02.2021;;06:27:00;;;-503;-5417;0.99;2.20E+09;0.00205372;0.1;;;10;33;3;;;0.0020614;28.03;
F2-18O-trans026;PSO-#F@26;tr;BH-01741;12.02.2021;;06:31:00;;;-479;-5390;0.99;2.18E+09;0.00205192;0.1;;;11;32;5;;;0.0020596;27.13;
F2-18O-trans027;PSO-#F@27;tr;BH-01741;12.02.2021;;06:35:00;;;-455;-5363;0.97;2.15E+09;0.00205108;0.1;;;11;32;7;;;0.00205875;26.71;
F2-18O-trans028;PSO-#F@28;tr;BH-01741;12.02.2021;;06:39:00;;;-431;-5336;0.98;2.11E+09;0.00205029;0.13;;;11;31;6;;;0.00205796;26.31;
F2-18O-trans029;PSO-#F@29;tr;BH-01741;12.02.2021;;06:43:00;;;-407;-5309;0.97;2.10E+09;0.00204806;0.13;;;11;31;2;;;0.00205572;25.19;
F2-18O-trans030;PSO-#F@30;tr;BH-01741;12.02.2021;;06:47:00;;;-383;-5282;0.96;2.16E+09;0.00204993;0.11;;;11;31;4;;;0.0020576;26.13;
F2-18O-trans031;PSO-#F@31;tr;BH-01741;12.02.2021;;06:51:00;;;-359;-5255;0.95;2.07E+09;0.00204815;0.14;;;12;30;5;;;0.00205581;25.24;
F2-18O-trans032;PSO-#F@32;tr;BH-01741;12.02.2021;;06:54:00;;;-335;-5228;0.95;2.09E+09;0.0020473;0.08;;;12;30;3;;;0.00205496;24.82;
F2-18O-trans033;PSO-#F@33;tr;BH-01741;12.02.2021;;06:58:00;;;-311;-5201;0.94;2.09E+09;0.00204635;0.13;;;12;29;2;;;0.00205401;24.34;
F2-18O-trans034;PSO-#F@34;tr;BH-01741;12.02.2021;;07:10:00;;;-287;-5174;0.92;2.12E+09;0.0020507;0.12;;;12;29;3;;;0.00205837;26.52;
F2-18O-trans035;PSO-#F@35;tr;core;12.02.2021;;07:14:00;;;-263;-5147;0.92;2.11E+09;0.00205045;0.13;;;12;28;8;;;0.00205813;26.39;
