ID;Date;?;clock;east-west;north-south;primary;12C;13C/12C;1SE (‰);DT-FA-x (bits);DT-FA-y (bits);entrance slit (bits);13C/12C IMF corrected;VPDB;uncert. (1SE, ‰)
K-13c@06;22.02.2021;30;17:11:00;933;4295;1.62;1.85E+07;0.01116;0.23;0;-10;-11;0.0111189;-10.53;0.23
K-13c@07;22.02.2021;30;17:16:00;919;4249;1.65;1.82E+07;0.011188;0.21;0;-11;-9;0.0111467;-8.05;0.21
K-13c@08;22.02.2021;30;17:21:00;904;4203;1.64;1.80E+07;0.011152;0.26;0;-9;-9;0.0111111;-11.23;0.26
K-13c@09;22.02.2021;30;17:25:00;890;4157;1.6;1.77E+07;0.011166;0.21;-1;-8;-8;0.0111249;-9.99;0.21
K-13c@10;22.02.2021;30;17:30:00;875;4110;1.6;1.77E+07;0.011162;0.27;-2;-10;-9;0.0111212;-10.32;0.27
K-13c@11;22.02.2021;30;17:34:00;860;4065;1.61;1.83E+07;0.011167;0.24;-2;-8;-7;0.0111265;-9.85;0.24
K-13c@12;22.02.2021;30;17:39:00;847;4018;1.62;1.75E+07;0.011166;0.25;-1;-8;-9;0.0111249;-9.99;0.25
K-13c@13;22.02.2021;30;17:43:00;837;3985;1.59;1.75E+07;0.011165;0.27;-1;-7;-9;0.0111241;-10.07;0.27
K-13c@14;22.02.2021;30;17:48:00;827;3952;1.58;1.83E+07;0.011155;0.29;-1;-8;-12;0.0111146;-10.91;0.29
K-13c@15;22.02.2021;30;17:52:00;818;3920;1.58;1.79E+07;0.011151;0.21;-2;-8;-10;0.0111103;-11.3;0.21
K-13c@16;22.02.2021;30;18:06:00;809;3888;1.58;1.86E+07;0.011157;0.25;-2;-7;-10;0.0111167;-10.73;0.25
K-13c@17;22.02.2021;30;18:11:00;799;3855;1.56;1.92E+07;0.011141;0.22;-4;-6;-10;0.0111003;-12.18;0.22
K-13c@18;22.02.2021;30;18:15:00;790;3823;1.53;1.83E+07;0.011153;0.21;-2;-7;-12;0.0111118;-11.16;0.21
K-13c@19;22.02.2021;30;18:20:00;781;3791;1.54;1.93E+07;0.011132;0.21;-3;-5;-9;0.0110917;-12.95;0.21
K-13c@20;22.02.2021;30;18:25:00;772;3759;1.55;1.92E+07;0.011142;0.24;-5;-6;-10;0.011101;-12.12;0.24
K-13c@21;22.02.2021;30;18:29:00;762;3726;1.57;1.89E+07;0.01115;0.22;-4;-6;-8;0.0111092;-11.39;0.22
K-13c@22;22.02.2021;30;18:34:00;753;3694;1.57;1.83E+07;0.011153;0.25;-3;-5;-9;0.0111127;-11.08;0.25
K-13c@23;22.02.2021;30;18:38:00;744;3662;1.55;1.82E+07;0.011161;0.27;-3;-6;-12;0.0111202;-10.41;0.27
K-13c@24;22.02.2021;30;18:43:00;735;3630;1.57;1.86E+07;0.011154;0.21;-3;-6;-12;0.0111136;-11;0.21
K-13c@25;22.02.2021;30;18:47:00;726;3598;1.56;2.76E+07;0.011022;0.19;-6;-5;-9;0.010982;-22.71;0.19
K-13c@26;22.02.2021;30;18:52:00;716;3565;1.53;1.94E+07;0.011122;0.26;-3;-5;-10;0.0110809;-13.91;0.26
K-13c@27;22.02.2021;30;18:56:00;707;3533;1.52;2.02E+07;0.011129;0.26;-4;-4;-10;0.0110886;-13.23;0.26
K-13c@28;22.02.2021;30;19:01:00;698;3501;1.54;2.15E+07;0.011096;0.24;-5;-4;-11;0.0110554;-16.18;0.24
K-13c@29;22.02.2021;30;19:06:00;688;3468;1.54;2.39E+07;0.011055;0.18;-6;-5;-14;0.0110149;-19.78;0.18
K-13c@30;22.02.2021;30;19:10:00;679;3436;1.55;2.12E+07;0.011071;0.24;-6;-3;-13;0.0110305;-18.39;0.24
K-13c@31;22.02.2021;30;19:19:00;670;3404;1.54;1.76E+07;0.011117;0.24;-6;-3;-9;0.0110764;-14.31;0.24
K-13c@32;22.02.2021;30;19:24:00;661;3372;1.52;1.87E+07;0.011096;0.24;-6;-3;-10;0.0110559;-16.14;0.24
K-13c@33;22.02.2021;30;19:28:00;652;3340;1.54;5.76E+07;0.010732;1.58;0;6;-23;0.0106927;-48.45;1.58
K-13c@34;22.02.2021;30;19:33:00;642;3307;1.54;1.70E+07;0.011108;0.28;-6;-4;-11;0.0110671;-15.14;0.28
K-13c@35;22.02.2021;30;19:38:00;634;3276;1.52;1.69E+07;0.011114;0.26;-7;-3;-10;0.0110731;-14.61;0.26
