"ID"	"TL_mm"	"weight"	"sex"	"area"	"capt_date"	"age"	"cohort"	"year"	"inc_um"	"rad_um"	"core"	"d18O"	"sims_dist"
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-7.2044651	0
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-7.1268643	35
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-5.8173508	70
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-6.54485829999999	105.603030259553
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-8.1162745	140
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-7.3984671	175.601822314007
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-6.0986537	210
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-6.8455614	245.60130292814
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-5.9240519	280
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-5.3226457	315.60101394007
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	1	362.5	362.5	219.3	-4.284735	350
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-6.2053548	384.802546769119
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-6.1859546	418.401720837761
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-5.3420459	453.207458014539
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-6.2053548	486.805916151396
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-6.3508563	521.613841840878
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-4.9734421	555.211671347064
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-5.6718493	590.021186060297
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-4.8861412	623.618473106755
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-5.5166477	658.429191333434
"BH-00729"	770	NA	"f"	"SB"	"14.12.2019"	4	2015	2	435.1	827.6	219.3	-5.2256447	692.026011071838
