Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
E-S88@08	15.45	1738	4255	2.37	2.04E+09	0.00205086	0.166	0.0231	-4	-5	-24	0.00205464	24.65											
E-S88@09	15.52	1704	4255	2.36	2.06E+09	0.00205061	0.174	0.0225	-4	-4	-24	0.00205438	24.53											
E-S88@10	15.58	1669	4256	2.36	1.94E+09	0.00205025	0.166	0.0211	-4	-4	-24	0.00205403	24.35											
E-S88@11	15.65	1635	4256	2.36	2.06E+09	0.00204814	0.177	0.0248	-4	-3	-24	0.00205191	23.29											
E-S88@12	15.72	1601	4256	2.36	2.06E+09	0.00205048	0.157	0.0271	-4	-4	-23	0.00205425	24.46											
E-S88@13	15.78	1566	4256	2.36	2.07E+09	0.00204816	0.183	0.0287	-3	-4	-25	0.00205193	23.30											
E-S88@14	15.85	1532	4256	2.36	2.05E+09	0.00205459	0.181	0.0253	-4	-4	-22	0.00205837	26.52											
E-S88@15	15.92	1497	4256	2.36	2.05E+09	0.00205330	0.144	0.0247	-4	-4	-22	0.00205708	25.87											
E-S88@16	15.98	1463	4256	2.36	2.06E+09	0.00205328	0.157	0.0262	-4	-3	-23	0.00205706	25.86											
E-S88@17	16.05	1429	4256	2.36	2.04E+09	0.00205320	0.188	0.0255	-4	-3	-24	0.00205698	25.82											
E-S88@18	16.13	1394	4257	2.36	2.06E+09	0.00205222	0.176	0.0264	-3	-3	-23	0.00205599	25.33											
E-S88@19	16.20	1360	4257	2.36	2.06E+09	0.00205068	0.140	0.0266	-3	-3	-22	0.00205445	24.56											
E-S88@20	16.27	1325	4257	2.36	2.05E+09	0.00205090	0.153	0.0263	-3	-3	-21	0.00205467	24.67											
E-S88@21	16.33	1291	4257	2.36	2.06E+09	0.00205247	0.145	0.0270	-3	-3	-22	0.00205625	25.46											
E-S88@22	16.40	1257	4257	2.36	2.05E+09	0.00205084	0.181	0.0240	-3	-3	-23	0.00205461	24.64											
E-S88@23	16.47	1222	4257	2.36	2.05E+09	0.00204811	0.153	0.0282	-2	-3	-23	0.00205188	23.28											
E-S88@24	16.53	1188	4257	2.36	2.05E+09	0.00204882	0.156	0.0288	-2	-3	-22	0.00205259	23.63											
E-S88@25	16.60	1153	4257	2.36	2.06E+09	0.00205004	0.138	0.0265	-2	-3	-23	0.00205381	24.24											
E-S88@26	16.67	1119	4258	2.36	2.07E+09	0.00205007	0.164	0.0273	-2	-2	-20	0.00205384	24.26											
E-S88@27	16.87	1085	4258	2.35	2.07E+09	0.00205134	0.172	0.0276	-1	-1	3	0.00205512	24.90											
E-S88@28	16.93	1050	4258	2.36	2.10E+09	0.00204943	0.160	0.0288	-1	-2	-27	0.00205320	23.94											
E-S88@29	17.00	1016	4258	2.35	2.07E+09	0.00205030	0.141	0.0299	-1	-2	-22	0.00205408	24.38											
E-S88@30	17.07	981	4258	2.36	1.94E+09	0.00204547	0.203	0.0314	-1	-2	-23	0.00204924		low count rate, discard										
E-S88@31	17.13	947	4258	2.35	2.04E+09	0.00204806	0.169	0.0306	-1	-2	-22	0.00205183	23.25											
E-S88@32	17.20	913	4258	2.36	2.05E+09	0.00204516	0.166	0.0286	-1	-2	-22	0.00204892	21.80											
E-S88@33	17.27	878	4259	2.36	2.06E+09	0.00204464	0.172	0.0288	-1	-2	-22	0.00204841	21.55											
E-S88@34	17.33	844	4259	2.35	2.06E+09	0.00204563	0.176	0.0285	-1	-2	-22	0.00204939	22.04											
E-S88@35	17.40	810	4259	2.35	2.05E+09	0.00204525	0.176	0.0285	-1	-2	-22	0.00204902	21.85											
E-S88@36	17.47	775	4259	2.35	2.04E+09	0.00204448	0.133	0.0279	0	-2	-22	0.00204824	21.46											
E-S88@37	17.53	741	4259	2.35	2.03E+09	0.00204553	0.135	0.0274	0	-2	-22	0.00204929	21.99											
E-S88@38	17.60	706	4259	2.35	2.00E+09	0.00204491	0.147	0.0273	0	-2	-22	0.00204867	21.68											
E-S88@39	17.68	672	4259	2.35	2.04E+09	0.00204541	0.139	0.0274	0	-2	-21	0.00204918	21.93											
E-S88@40	17.75	638	4259	2.35	2.03E+09	0.00204533	0.196	0.0300	0	-1	-22	0.00204909	21.89											
E-S88@41	17.82	603	4260	2.35	2.04E+09	0.00204546	0.158	0.0285	0	-1	-22	0.00204923	21.96											
E-S88@42	17.88	569	4260	2.35	2.02E+09	0.00204630	0.142	0.0284	0	-1	-22	0.00205006	22.37											
E-S88@43	17.95	534	4260	2.35	2.03E+09	0.00204652	0.170	0.0287	0	-1	-23	0.00205029	22.49											
E-S88@44	18.02	501	4260	2.35	2.01E+09	0.00204597	0.171	0.0279	1	-1	-23	0.00204973	22.21											
F-S88@01	18.08	-6232	4556	2.34	2.04E+09	0.00205472	0.177	0.0254	25	-21	-21	0.00205850	26.58											
F-S88@02	18.15	-6203	4537	2.35	2.05E+09	0.00205368	0.182	0.0267	26	-21	-22	0.00205746	26.06											
F-S88@03	0.13	-6174	4518	2.35	2.03E+09	0.00205204	0.159	0.0247	26	-20	-21	0.00205582	25.24											
F-S88@04	0.20	-6145	4500	2.34	2.04E+09	0.00205307	0.206	0.0243	26	-19	-21	0.00205684	25.76											
F-S88@05	0.27	-6116	4482	2.34	2.03E+09	0.00205029	0.143	0.0252	27	-19	-21	0.00205406	24.37											
F-S88@06	0.33	-6087	4464	2.34	2.04E+09	0.00205099	0.151	0.0246	27	-19	-22	0.00205477	24.72											
F-S88@07	0.40	-6058	4446	2.34	2.02E+09	0.00205090	0.156	0.0263	27	-18	-22	0.00205467	24.67											
F-S88@08	0.47	-6029	4428	2.34	2.03E+09	0.00205051	0.157	0.0258	28	-18	-23	0.00205428	24.48											
F-S88@09	0.53	-6000	4410	2.34	2.02E+09	0.00205103	0.170	0.0248	28	-17	-22	0.00205480	24.74											
F-S88@10	0.60	-5971	4392	2.34	2.03E+09	0.00205064	0.174	0.0250	28	-17	-23	0.00205442	24.54											
F-S88@11	0.67	-5942	4373	2.34	2.04E+09	0.00205217	0.160	0.0254	28	-17	-24	0.00205595	25.31											
F-S88@12	0.75	-5913	4355	2.34	2.04E+09	0.00205163	0.132	0.0272	28	-16	-24	0.00205541	25.04											
F-S88@13	0.82	-5884	4337	2.34	2.04E+09	0.00204970	0.161	0.0272	28	-16	-23	0.00205347	24.07											
F-S88@14	0.88	-5855	4319	2.34	2.01E+09	0.00205068	0.166	0.0275	29	-15	-24	0.00205445	24.56											
F-S88@15	0.95	-5826	4301	2.34	2.01E+09	0.00205151	0.163	0.0286	29	-15	-25	0.00205529	24.98											
F-S88@16	1.02	-5797	4283	2.34	2.02E+09	0.00205533	0.150	0.0237	29	-15	-25	0.00205911	26.89											
F-S88@17	1.08	-5768	4265	2.34	2.04E+09	0.00205374	0.149	0.0261	29	-14	-23	0.00205752	26.09											
F-S88@18	1.15	-5739	4247	2.34	2.04E+09	0.00205329	0.183	0.0267	29	-14	-25	0.00205706	25.86											
F-S88@19	1.22	-5710	4229	2.34	2.04E+09	0.00205148	0.149	0.0269	29	-14	-25	0.00205526	24.96											
F-S88@20	1.28	-5681	4210	2.34	1.96E+09	0.00204858	0.176	0.0307	29	-13	-23	0.00205235	23.52											
F-S88@21	1.35	-5652	4192	2.34	1.99E+09	0.00204815	0.170	0.0333	30	-13	-26	0.00205192	23.30											
F-S88@22	1.42	-5623	4174	2.34	2.04E+09	0.00204992	0.169	0.0274	29	-13	-26	0.00205369	24.18											
F-S88@23	1.62	-5594	4156	2.34	2.04E+09	0.00205169	0.157	0.0278	30	-12	-26	0.00205547	25.07											
F-S88@24	1.68	-5565	4138	2.34	2.03E+09	0.00204834	0.160	0.0287	30	-12	-25	0.00205211	23.40											
F-S88@25	1.75	-5536	4120	2.34	2.05E+09	0.00204928	0.174	0.0266	30	-12	-25	0.00205305	23.86											
F-S88@26	1.82	-5507	4102	2.34	2.02E+09	0.00204928	0.143	0.0265	30	-12	-26	0.00205305	23.87											
F-S88@27	1.88	-5478	4084	2.34	1.98E+09	0.00204686	0.171	0.0313	30	-11	-27	0.00205063	22.66											
F-S88@28	1.95	-5449	4065	2.34	1.99E+09	0.00205103	0.178	0.0299	31	-11	-26	0.00205480	24.74											
F-S88@29	2.02	-5419	4047	2.34	2.04E+09	0.00205082	0.171	0.0271	31	-11	-27	0.00205459	24.63											
F-S88@30	2.08	-5389	4029	2.33	2.04E+09	0.00204936	0.179	0.0289	30	-10	-26	0.00205314	23.91											
F-S88@31	2.15	-5359	4011	2.34	1.87E+09	0.00204560	0.232	0.0322	31	-10	-27	0.00204936		low count rate, discard										
F-S88@32	2.22	-5329	3993	2.33	2.05E+09	0.00205102	0.159	0.0289	31	-10	-27	0.00205480	24.73											
F-S88@33	2.28	-5299	3975	2.33	2.03E+09	0.00205086	0.167	0.0298	31	-11	-27	0.00205464	24.65											
F-S88@34	2.37	-5269	3957	2.33	2.04E+09	0.00204471	0.205	0.0318	31	-9	-26	0.00204847	21.58											
F-S88@35	2.43	-5239	3939	2.33	2.02E+09	0.00204787	0.161	0.0311	31	-9	-27	0.00205164	23.16											
F-S88@36	2.50	-5209	3921	2.33	2.06E+09	0.00204827	0.140	0.0280	31	-9	-28	0.00205204	23.36											
F-S88@37	2.57	-5179	3902	2.33	2.04E+09	0.00204926	0.161	0.0278	31	-9	-28	0.00205303	23.85											
F-S88@38	2.63	-5149	3885	2.33	2.06E+09	0.00204918	0.158	0.0279	30	-8	-27	0.00205295	23.82											
F-S88@39	2.70	-5119	3866	2.33	2.03E+09	0.00204816	0.159	0.0305	30	-8	-28	0.00205193	23.30											
F-S88@40	2.77	-5089	3849	2.33	2.05E+09	0.00204866	0.172	0.0293	31	-8	-28	0.00205243	23.55											
F-S88@41	2.83	-5059	3830	2.33	1.98E+09	0.00204392	0.203	0.0530	31	-8	-28	0.00204768	21.18											
H-S88@01	8.40	1838	3116	2.61	2.24E+09	0.00205147	0.153	0.0231	-8	-3	-28	0.00205525	24.96											
H-S88@02	8.47	1807	3100	2.61	2.25E+09	0.00204978	0.162	0.0229	-7	-3	-26	0.00205356	24.12											
H-S88@03	8.53	1776	3084	2.61	2.24E+09	0.00204591	0.152	0.0263	-7	-3	-25	0.00204967	22.18											
H-S88@04	8.60	1746	3068	2.61	2.24E+09	0.00205312	0.185	0.0243	-8	-3	-25	0.00205690	25.78											
H-S88@05	8.67	1716	3053	2.61	2.24E+09	0.00205212	0.181	0.0232	-7	-3	-24	0.00205590	25.28											
H-S88@06	8.75	1685	3037	2.61	2.23E+09	0.00204438	0.165	0.0236	-7	-3	-25	0.00204814	21.42											
H-S88@07	8.82	1655	3021	2.61	2.24E+09	0.00204787	0.167	0.0225	-7	-2	-24	0.00205164	23.16											
H-S88@08	8.88	1625	3006	2.61	2.22E+09	0.00205516	0.199	0.0210	-7	-3	-24	0.00205894	26.80											
H-S88@09	8.95	1594	2990	2.61	2.23E+09	0.00205442	0.160	0.0236	-7	-3	-22	0.00205820	26.43											
H-S88@10	9.02	1564	2974	2.61	2.21E+09	0.00204925	0.156	0.0203	-7	-2	-21	0.00205302	23.85											
H-S88@11	9.08	1534	2959	2.60	2.21E+09	0.00204709	0.175	0.0206	-7	-3	-24	0.00205086	22.77											
H-S88@12	9.15	1503	2943	2.59	2.22E+09	0.00204870	0.185	0.0238	-7	-2	-22	0.00205247	23.57											
H-S88@13	9.22	1473	2928	2.59	2.22E+09	0.00205658	0.196	0.0227	-7	-2	-22	0.00206036	27.51											
H-S88@14	9.28	1443	2912	2.59	2.23E+09	0.00205326	0.163	0.0229	-6	-2	-23	0.00205704	25.85											
H-S88@15	9.35	1412	2896	2.59	2.23E+09	0.00204810	0.175	0.0234	-6	-2	-22	0.00205187	23.27											
H-S88@16	9.42	1382	2881	2.59	2.21E+09	0.00204812	0.178	0.0233	-6	-2	-23	0.00205189	23.28											
H-S88@17	9.62	1352	2865	2.58	2.21E+09	0.00204545	0.134	0.0208	-6	-2	-22	0.00204921	21.95											
H-S88@18	9.68	1321	2849	2.58	2.21E+09	0.00204492	0.149	0.0225	-6	-2	-23	0.00204869	21.69											
H-S88@19	9.75	1291	2834	2.58	2.21E+09	0.00204746	0.152	0.0235	-6	-2	-22	0.00205123	22.95											
H-S88@20	9.82	1261	2818	2.58	2.20E+09	0.00204747	0.194	0.0239	-6	-2	-23	0.00205123	22.96											
H-S88@21	9.88	1230	2802	2.58	2.21E+09	0.00205133	0.153	0.0242	-6	-2	-23	0.00205511	24.89											
H-S88@22	9.95	1200	2787	2.58	2.23E+09	0.00204742	0.158	0.0273	-5	-1	-22	0.00205119	22.93											
H-S88@23	10.02	1170	2771	2.58	2.22E+09	0.00204782	0.130	0.0271	-5	-1	-24	0.00205159	23.14											
H-S88@24	10.08	1139	2756	2.58	2.23E+09	0.00204668	0.152	0.0257	-5	-1	-23	0.00205045	22.56											
H-S88@25	10.15	1109	2740	2.58	2.22E+09	0.00204595	0.147	0.0242	-5	-1	-24	0.00204972	22.20											
H-S88@26	10.22	1079	2724	2.58	2.22E+09	0.00204543	0.151	0.0241	-5	-1	-22	0.00204919	21.94											
H-S88@27	10.28	1048	2709	2.57	2.23E+09	0.00204534	0.173	0.0255	-5	-1	-23	0.00204910	21.89											
H-S88@28	10.35	1018	2693	2.58	2.21E+09	0.00204706	0.154	0.0247	-5	-1	-22	0.00205083	22.75											
H-S88@29	10.42	988	2677	2.58	2.21E+09	0.00204519	0.162	0.0246	-4	-1	-23	0.00204896	21.82											
H-S88@30	10.48	957	2662	2.58	2.20E+09	0.00204656	0.121	0.0249	-4	-1	-23	0.00205033	22.50											
H-S88@31	10.55	927	2646	2.58	2.20E+09	0.00204780	0.185	0.0259	-4	-1	-22	0.00205157	23.13											
H-S88@32	10.62	897	2630	2.58	2.19E+09	0.00204592	0.166	0.0271	-4	-1	-23	0.00204968	22.18											
H-S88@33	10.68	867	2615	2.58	2.19E+09	0.00204867	0.182	0.0246	-4	-1	-22	0.00205244	23.56											
H-S88@34	10.75	836	2599	2.58	2.21E+09	0.00205259	0.149	0.0234	-4	-1	-22	0.00205637	25.52											
H-S88@35	10.82	806	2584	2.58	2.23E+09	0.00205179	0.156	0.0281	-4	-1	-22	0.00205556	25.12											
H-S88@36	11.03	776	2568	2.58	2.25E+09	0.00205354	0.158	0.0277	-4	-1	-22	0.00205732	25.99											
H-S88@37	11.10	745	2552	2.58	2.23E+09	0.00205070	0.170	0.0259	-4	-1	-22	0.00205448	24.57											
H-S88@38	11.17	715	2537	2.58	2.20E+09	0.00204766	0.210	0.0260	-3	-1	-23	0.00205143	23.05											
H-S88@39	11.23	685	2521	2.58	2.23E+09	0.00204963	0.186	0.0249	-3	-1	-24	0.00205340	24.04											
H-S88@40	11.30	654	2505	2.58	2.22E+09	0.00204914	0.158	0.0246	-3	-1	-23	0.00205291	23.79											
H-S88@41	11.37	624	2490	2.58	2.22E+09	0.00204746	0.138	0.0247	-3	-1	-21	0.00205123	22.95											
H-S88@42	11.43	594	2474	2.58	2.21E+09	0.00204867	0.171	0.0242	-3	-1	-22	0.00205244	23.56											
H-S88@43	11.50	563	2459	2.57	2.21E+09	0.00204895	0.172	0.0247	-3	-1	-21	0.00205272	23.70											
H-S88@44	11.57	533	2443	2.57	2.21E+09	0.00204831	0.168	0.0239	-3	-1	-23	0.00205208	23.38											
H-S88@45	11.63	503	2427	2.57	2.21E+09	0.00204576	0.191	0.0246	-2	-1	-22	0.00204952	22.10											
H-S88@46	11.70	472	2412	2.57	2.24E+09	0.00204499	0.130	0.0255	-2	-1	-22	0.00204875	21.72											
H-S88@47	11.77	443	2396	2.57	2.23E+09	0.00204581	0.140	0.0252	-2	-1	-23	0.00204957	22.13											
I-S88@01	11.83	-4936	-2143	2.56	2.20E+09	0.00205215	0.144	0.0235	25	1	-24	0.00205592	25.30											small kink in profile
I-S88@02	11.90	-4936	-2108	2.56	2.20E+09	0.00205082	0.143	0.0247	25	1	-25	0.00205459	24.63											
I-S88@03	11.97	-4936	-2073	2.56	2.19E+09	0.00205304	0.142	0.0224	26	1	-25	0.00205682	25.74											
I-S88@04	12.03	-4936	-2038	2.56	2.19E+09	0.00205015	0.181	0.0229	26	1	-24	0.00205392	24.30											
I-S88@05	12.10	-4936	-2003	2.56	2.20E+09	0.00205104	0.152	0.0236	26	1	-26	0.00205481	24.74											
I-S88@06	12.17	-4936	-1968	2.56	2.20E+09	0.00205435	0.149	0.0216	26	1	-25	0.00205814	26.40											
I-S88@07	12.23	-4936	-1933	2.57	2.18E+09	0.00204965	0.146	0.0249	26	0	-25	0.00205342	24.05											
I-S88@08	12.30	-4936	-1898	2.57	2.21E+09	0.00205059	0.164	0.0264	26	0	-25	0.00205436	24.52											
I-S88@09	12.52	-4936	-1863	2.56	2.21E+09	0.00205061	0.156	0.0236	26	0	-25	0.00205439	24.53											
I-S88@10	12.58	-4936	-1828	2.57	2.21E+09	0.00204701	0.175	0.0263	26	0	-26	0.00205078	22.73											
I-S88@11	12.65	-4936	-1793	2.57	2.20E+09	0.00204802	0.149	0.0253	26	-1	-24	0.00205179	23.23											
I-S88@12	12.72	-4936	-1758	2.56	2.20E+09	0.00205316	0.134	0.0243	27	-1	-24	0.00205694	25.80											
I-S88@13	12.78	-4936	-1723	2.56	2.22E+09	0.00204968	0.151	0.0248	26	-1	-25	0.00205345	24.06											
I-S88@14	12.85	-4936	-1688	2.56	2.21E+09	0.00204991	0.159	0.0251	27	-1	-25	0.00205369	24.18											
I-S88@15	12.92	-4936	-1653	2.56	2.21E+09	0.00204994	0.170	0.0268	27	-1	-25	0.00205372	24.20											
I-S88@16	12.98	-4936	-1617	2.56	2.21E+09	0.00205390	0.168	0.0257	27	-2	-25	0.00205768	26.17											
I-S88@17	13.05	-4936	-1581	2.56	2.22E+09	0.00204970	0.170	0.0257	27	-2	-26	0.00205347	24.07											
I-S88@18	13.12	-4936	-1545	2.56	2.21E+09	0.00205005	0.178	0.0259	27	-2	-25	0.00205382	24.25											
I-S88@19	13.18	-4936	-1509	2.56	2.22E+09	0.00204906	0.151	0.0264	27	-2	-23	0.00205283	23.76											
I-S88@20	13.25	-4936	-1473	2.56	2.20E+09	0.00205066	0.171	0.0258	27	-2	-25	0.00205444	24.55											
I-S88@21	13.32	-4936	-1437	2.56	2.20E+09	0.00205229	0.145	0.0265	27	-2	-25	0.00205607	25.37											
I-S88@22	13.38	-4936	-1401	2.56	2.21E+09	0.00205440	0.159	0.0268	27	-2	-25	0.00205818	26.42											
I-S88@23	13.45	-4936	-1365	2.56	2.21E+09	0.00205310	0.179	0.0257	27	-2	-26	0.00205688	25.77											
I-S88@24	13.52	-4936	-1329	2.55	2.18E+09	0.00205101	0.151	0.0268	28	-2	-24	0.00205479	24.73											
I-S88@25	13.58	-4936	-1293	2.55	2.21E+09	0.00205038	0.176	0.0302	28	-2	-25	0.00205416	24.41											
I-S88@26	13.65	-4936	-1257	2.55	2.21E+09	0.00205274	0.191	0.0284	28	-2	-25	0.00205652	25.59											
I-S88@27	13.72	-4936	-1221	2.55	2.21E+09	0.00205209	0.154	0.0288	27	-3	-25	0.00205587	25.27											
I-S88@28	13.78	-4936	-1185	2.55	2.20E+09	0.00205540	0.165	0.0263	28	-3	-25	0.00205918	26.92											
I-S88@29	13.98	-4936	-1149	2.55	2.21E+09	0.00205262	0.170	0.0273	28	-2	-26	0.00205640	25.53											
I-S88@30	14.05	-4936	-1113	2.55	2.21E+09	0.00205064	0.151	0.0271	28	-3	-25	0.00205442	24.55											
I-S88@31	14.12	-4936	-1077	2.55	2.20E+09	0.00205054	0.172	0.0265	28	-3	-25	0.00205431	24.49											
I-S88@32	14.18	-4936	-1041	2.54	2.20E+09	0.00205391	0.192	0.0259	28	-3	-25	0.00205769	26.18											
I-S88@33	14.25	-4935	-1005	2.55	2.18E+09	0.00205186	0.163	0.0247	28	-3	-26	0.00205564	25.15											
I-S88@34	14.32	-4934	-969	2.55	2.18E+09	0.00205006	0.189	0.0250	28	-3	-27	0.00205383	24.25											
I-S88@35	14.38	-4933	-933	2.55	2.20E+09	0.00204989	0.166	0.0267	28	-3	-25	0.00205366	24.17											
I-S88@36	14.45	-4932	-897	2.55	1.93E+09	0.00204818	0.197	0.0268	28	-4	-24	0.00205195		low count rate, discard										
I-S88@37	14.52	-4931	-861	2.55	2.21E+09	0.00204991	0.168	0.0256	28	-4	-27	0.00205368	24.18											
I-S88@38	14.58	-4930	-825	2.55	2.21E+09	0.00205087	0.140	0.0257	28	-4	-27	0.00205465	24.66											
I-S88@39	14.65	-4929	-789	2.55	2.22E+09	0.00205069	0.158	0.0261	28	-4	-26	0.00205446	24.57											
I-S88@40	14.73	-4928	-753	2.55	2.21E+09	0.00205020	0.145	0.0261	29	-4	-25	0.00205397	24.32											
J-S88@01	14.80	-6650	-1355	2.55	2.20E+09	0.00204998	0.159	0.0244	36	2	-25	0.00205376	24.22											
J-S88@02	14.87	-6627	-1382	2.55	2.20E+09	0.00205291	0.171	0.0258	36	3	-22	0.00205669	25.68											
J-S88@03	14.93	-6604	-1409	2.55	2.21E+09	0.00205214	0.176	0.0253	36	3	-20	0.00205592	25.29											
J-S88@04	15.00	-6581	-1436	2.55	2.21E+09	0.00205213	0.173	0.0262	36	3	-22	0.00205590	25.29											
J-S88@05	15.07	-6558	-1462	2.55	2.20E+09	0.00205136	0.167	0.0259	36	3	-23	0.00205514	24.90											
J-S88@06	15.13	-6535	-1488	2.54	2.21E+09	0.00205028	0.179	0.0262	35	3	-23	0.00205405	24.36											
J-S88@07	15.20	-6512	-1514	2.54	2.20E+09	0.00205126	0.156	0.0253	35	4	-22	0.00205503	24.85											
J-S88@08	15.40	-6489	-1540	2.54	2.21E+09	0.00205118	0.157	0.0258	35	3	-23	0.00205496	24.81											
J-S88@09	15.47	-6466	-1566	2.54	2.20E+09	0.00204969	0.165	0.0298	35	3	-24	0.00205347	24.07											
J-S88@10	15.53	-6443	-1592	2.54	2.22E+09	0.00204918	0.183	0.0291	35	3	-25	0.00205295	23.81											
J-S88@11	15.60	-6420	-1618	2.54	2.20E+09	0.00205048	0.165	0.0266	35	4	-23	0.00205426	24.47											
J-S88@12	15.67	-6397	-1644	2.54	2.21E+09	0.00204856	0.139	0.0296	35	4	-24	0.00205233	23.50											
J-S88@13	15.73	-6374	-1670	2.54	2.21E+09	0.00204934	0.152	0.0275	35	4	-26	0.00205311	23.89											
J-S88@14	15.80	-6351	-1696	2.54	2.20E+09	0.00204891	0.165	0.0279	35	4	-26	0.00205268	23.68											
J-S88@15	15.87	-6328	-1722	2.53	2.22E+09	0.00204652	0.165	0.0336	35	5	-25	0.00205028	22.48											
J-S88@16	15.93	-6304	-1748	2.53	2.21E+09	0.00204935	0.155	0.0271	35	5	-28	0.00205313	23.90											
J-S88@17	16.00	-6280	-1774	2.53	1.26E+09	0.00205629	0.157	0.0212	37	4	-73	0.00206007		low count rate, discard										
J-S88@18	16.07	-6256	-1800	2.53	1.32E+09	0.00204651	0.362	0.0281	36	1	36	0.00205028		low count rate, discard										
J-S88@19	16.13	-6232	-1826	2.53	2.23E+09	0.00204952	0.158	0.0284	32	2	-17	0.00205329	23.98											
J-S88@20	16.20	-6208	-1852	2.53	2.24E+09	0.00204898	0.165	0.0295	33	3	-23	0.00205275	23.71											
J-S88@21	16.27	-6184	-1878	2.53	2.18E+09	0.00204404	0.171	0.0352	33	4	-24	0.00204780	21.24											
J-S88@22	16.33	-6160	-1904	2.53	2.23E+09	0.00204736	0.189	0.0314	33	4	-25	0.00205112	22.90											
J-S88@23	16.42	-6136	-1930	2.53	2.07E+09	0.00204396	0.227	0.0328	33	4	-24	0.00204773	21.21											
J-S88@24	16.48	-6112	-1956	2.53	2.18E+09	0.00204670	0.153	0.0307	33	4	-26	0.00205047	22.57											
J-S88@25	16.55	-6088	-1982	2.53	2.20E+09	0.00204917	0.137	0.0305	33	4	-26	0.00205294	23.81											
J-S88@26	16.62	-6064	-2008	2.53	2.15E+09	0.00204496	0.170	0.0330	33	4	-26	0.00204872	21.70											
J-S88@27	16.82	-6040	-2034	2.53	2.14E+09	0.00204475	0.171	0.0318	33	4	-25	0.00204851	21.60											
J-S88@28	16.88	-6016	-2060	2.53	2.22E+09	0.00204430	0.143	0.0284	33	4	-26	0.00204807	21.38											
J-S88@29	16.95	-5992	-2086	2.53	2.21E+09	0.00204339	0.146	0.0284	32	4	-25	0.00204715	20.92											
J-S88@30	17.02	-5968	-2112	2.53	2.22E+09	0.00204416	0.144	0.0278	32	4	-26	0.00204792	21.31											
J-S88@31	17.08	-5944	-2138	2.53	2.22E+09	0.00204428	0.173	0.0285	32	4	-26	0.00204804	21.37											
J-S88@32	17.15	-5920	-2164	2.53	2.22E+09	0.00204446	0.154	0.0286	31	4	-26	0.00204823	21.46											
J-S88@33	17.22	-5896	-2190	2.53	2.20E+09	0.00204386	0.166	0.0288	32	4	-25	0.00204762	21.16											
J-S88@34	17.28	-5872	-2216	2.53	2.21E+09	0.00204350	0.185	0.0292	31	4	-26	0.00204726	20.97											
J-S88@35	17.35	-5848	-2242	2.52	2.20E+09	0.00204455	0.144	0.0293	31	4	-26	0.00204831	21.50											
J-S88@36	17.42	-5824	-2268	2.52	2.12E+09	0.00204804	0.191	0.0330	31	4	-26	0.00205181	23.24											
K-S88@01	17.48	-1926	-40	2.52	2.19E+09	0.00205211	0.152	0.0236	11	-4	-27	0.00205589	25.28											
K-S88@02	17.55	-1951	-65	2.52	2.18E+09	0.00204773	0.173	0.0243	12	-4	-28	0.00205150	23.09											
K-S88@03	17.62	-1976	-90	2.52	2.18E+09	0.00204761	0.151	0.0234	12	-3	-26	0.00205138	23.03											
K-S88@04	17.68	-2001	-115	2.52	2.19E+09	0.00204614	0.145	0.0260	13	-3	-26	0.00204990	22.29											
K-S88@05	17.75	-2026	-140	2.52	2.18E+09	0.00205555	0.139	0.0224	12	-3	-25	0.00205933	27.00											
K-S88@06	17.82	-2051	-165	2.52	2.17E+09	0.00205174	0.154	0.0233	12	-3	-25	0.00205552	25.09											
K-S88@07	17.88	-2076	-190	2.52	2.18E+09	0.00204916	0.187	0.0226	12	-3	-24	0.00205293	23.80											
K-S88@08	17.95	-2101	-215	2.52	2.18E+09	0.00204555	0.174	0.0243	12	-3	-24	0.00204932	22.00											
K-S88@09	18.02	-2125	-240	2.52	2.18E+09	0.00204661	0.183	0.0239	12	-2	-24	0.00205037	22.53											
K-S88@10	18.23	-2149	-265	2.51	2.17E+09	0.00204814	0.182	0.0254	12	-3	-24	0.00205191	23.30											
K-S88@11	18.30	-2173	-290	2.51	2.17E+09	0.00205337	0.176	0.0227	12	-3	-23	0.00205714	25.90											
K-S88@12	18.37	-2197	-315	2.52	2.19E+09	0.00205394	0.167	0.0233	12	-2	-24	0.00205772	26.19											
K-S88@13	18.43	-2221	-340	2.51	2.17E+09	0.00205082	0.169	0.0226	12	-3	-23	0.00205459	24.63											
K-S88@14	18.50	-2245	-365	2.51	2.17E+09	0.00204956	0.175	0.0229	12	-3	-23	0.00205333	24.00											
K-S88@15	18.57	-2269	-390	2.51	2.17E+09	0.00204823	0.200	0.0231	12	-3	-24	0.00205200	23.34											
K-S88@16	18.63	-2293	-415	2.51	2.19E+09	0.00204755	0.172	0.0268	12	-3	-24	0.00205132	23.00											
K-S88@17	18.70	-2317	-440	2.51	2.20E+09	0.00205327	0.175	0.0265	12	-2	-23	0.00205705	25.86											
K-S88@18	18.77	-2341	-465	2.51	2.18E+09	0.00205338	0.186	0.0235	13	-3	-23	0.00205716	25.91											
K-S88@19	18.83	-2365	-490	2.51	2.16E+09	0.00205190	0.175	0.0228	13	-3	-23	0.00205567	25.17											
