Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
B-S88@06	4.02	-4420	5486	2.48	2.13E+09	0.00204953	0.184	0.0219	22	-12	-26	0.00205330	23.99											
B-S88@06	4.02	-4420	5486	2.48	2.13E+09	0.00204953	0.184	0.0219	22	-12	-26	0.00205330	23.99											
B-S88@07	4.08	-4393	5508	2.48	2.14E+09	0.00205022	0.148	0.0222	22	-11	-25	0.00205399	24.33											
B-S88@08	4.17	-4366	5530	2.48	2.13E+09	0.00204993	0.168	0.0227	22	-13	-26	0.00205370	24.19											
B-S88@09	4.23	-4339	5552	2.48	2.14E+09	0.00204822	0.134	0.0242	21	-12	-25	0.00205199	23.34											
B-S88@10	4.30	-4312	5574	2.48	2.12E+09	0.00204828	0.163	0.0236	22	-12	-23	0.00205205	23.37											
B-S88@11	4.37	-4285	5596	2.48	2.14E+09	0.00204686	0.168	0.0257	21	-11	-24	0.00205062	22.65											
B-S88@12	4.43	-4258	5618	2.48	2.12E+09	0.00204995	0.204	0.0235	21	-13	-26	0.00205372	24.20											
B-S88@13	4.50	-4231	5640	2.48	2.13E+09	0.00205077	0.171	0.0246	21	-12	-26	0.00205454	24.61											
B-S88@14	4.58	-4204	5662	2.47	2.11E+09	0.00205300	0.196	0.0265	21	-11	-25	0.00205678	25.72											
B-S88@15	4.65	-4177	5684	2.47	2.15E+09	0.00205510	0.163	0.0240	21	-13	-26	0.00205889	26.77	high, but otherwis normal.  Keep										
B-S88@16	4.72	-4150	5706	2.47	2.14E+09	0.00205122	0.171	0.0290	21	-12	-27	0.00205499	24.83											
B-S88@17	4.93	-4123	5728	2.47	2.15E+09	0.00205158	0.123	0.0277	21	-12	-27	0.00205536	25.02											
B-S88@18	5.00	-4096	5750	2.46	2.13E+09	0.00205019	0.118	0.0292	21	-12	-26	0.00205396	24.32											
B-S88@19	5.07	-4069	5772	2.46	2.17E+09	0.00204904	0.167	0.0284	21	-12	-28	0.00205281	23.74											
B-S88@20	5.13	-4042	5794	2.46	2.14E+09	0.00204997	0.146	0.0289	22	-12	-28	0.00205374	24.21											
B-S88@21	5.20	-4015	5816	2.46	2.14E+09	0.00204913	0.177	0.0274	21	-11	-27	0.00205290	23.79											
B-S88@22	5.27	-3988	5838	2.46	2.12E+09	0.00204930	0.140	0.0289	20	-11	-23	0.00205307	23.87											
B-S88@23	5.35	-3961	5860	2.46	2.14E+09	0.00204698	0.157	0.0304	20	-11	-26	0.00205074	22.71											
B-S88@24	5.42	-3933	5882	2.46	2.14E+09	0.00204718	0.173	0.0302	20	-12	-25	0.00205095	22.81											
B-S88@25	5.48	-3905	5904	2.45	2.10E+09	0.00204838	0.191	0.0316	20	-11	-25	0.00205215	23.41											
B-S88@26	5.55	-3877	5926	2.45	2.09E+09	0.00204816	0.129	0.0303	20	-12	-24	0.00205193	23.31											
B-S88@27	5.62	-3849	5948	2.45	2.13E+09	0.00204800	0.128	0.0299	19	-12	-24	0.00205177	23.23											
B-S88@28	5.68	-3821	5969	2.45	2.14E+09	0.00204981	0.161	0.0283	20	-12	-26	0.00205358	24.13											
B-S88@29	5.77	-3793	5992	2.45	2.11E+09	0.00204918	0.196	0.0291	20	-11	-25	0.00205296	23.82											
B-S88@30	5.83	-3765	6013	2.45	1.91E+09	0.00204139	0.247	0.0319	20	-12	-25	0.00204514		low countrate, discard										
B-S88@31	5.90	-3737	6036	2.45	2.00E+09	0.00204333	0.208	0.0317	20	-12	-25	0.00204709	20.89	somwaht low countrate										
B-S88@32	5.97	-3709	6057	2.45	2.07E+09	0.00204648	0.178	0.0293	19	-12	-24	0.00205025	22.47											
B-S88@33	6.03	-3681	6080	2.45	2.15E+09	0.00204954	0.188	0.0274	19	-12	-26	0.00205331		low countrate, discard										
B-S88@34	6.10	-3653	6101	2.45	1.77E+09	0.00204520	0.206	0.0311	18	-11	-22	0.00204896	21.82											
B-S88@35	6.17	-3625	6124	2.45	2.12E+09	0.00204989	0.156	0.0291	19	-12	-25	0.00205366	24.17											
B-S88@36	6.25	-3597	6145	2.45	2.01E+09	0.00204640	0.222	0.0314	19	-12	-24	0.00205017	22.42											
B-S88@37	6.45	-3569	6168	2.45	2.15E+09	0.00204475	0.172	0.0274	20	-12	-27	0.00204851	21.60											
B-S88@38	6.52	-3541	6189	2.45	2.09E+09	0.00204472	0.171	0.0295	19	-12	-25	0.00204848	21.58											
B-S88@39	6.60	-3513	6212	2.45	2.14E+09	0.00204650	0.161	0.0305	20	-12	-27	0.00205026	22.47											
